0.8035805246360428		SimpleArgument(Guangzhou Xinghe Aluminum Composite Panel Co., Ltd.,List([0, 51)))	Relation(was established in,List([52, 67), [68, 70)))	TemporalArgument(2001,List([71, 75)))	Guangzhou Xinghe Aluminum Composite Panel Co., Ltd. was established in 2001.
0.6381012045821894		SimpleArgument(our company,List([32, 43)))	Relation(has introduced,List([44, 58)))	SimpleArgument(internationally advanced production equipment,List([59, 104)))	With great financial strength, our company has introduced internationally advanced technology and production equipment and supplies the series of high quality aluminum composite panels to our widespread users.
0.6381012045821894		SimpleArgument(our company,List([32, 43)))	Relation(has introduced,List([44, 58)))	SimpleArgument(internationally advanced technology,List([59, 94)))	With great financial strength, our company has introduced internationally advanced technology and production equipment and supplies the series of high quality aluminum composite panels to our widespread users.
0.48903187625367955		SimpleArgument(our company,List([32, 43)))	Relation(supplies the series of high quality aluminum composite panels to,List([44, 52), [53, 105), [106, 108)))	SimpleArgument(our widespread users,List([109, 129)))	With great financial strength, our company has introduced internationally advanced technology and production equipment and supplies the series of high quality aluminum composite panels to our widespread users.
0.6381012045821894		SimpleArgument(our company,List([32, 43)))	Relation(supplies,List([44, 52)))	SimpleArgument(the series of high quality aluminum composite panels,List([53, 105)))	With great financial strength, our company has introduced internationally advanced technology and production equipment and supplies the series of high quality aluminum composite panels to our widespread users.
0.8866751830570337		SimpleArgument(Our company,List([0, 11)))	Relation(is superior in,List([12, 26)))	SimpleArgument(convenient,List([27, 37)))	Our company is superior in location and convenient in transportation.
0.7005288659799959		SimpleArgument(Our company,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(superior in convenient in transportation,List([15, 55)))	Our company is superior in location and convenient in transportation.
0.8866751830570337		SimpleArgument(Our company,List([0, 11)))	Relation(is superior in,List([12, 26)))	SimpleArgument(location,List([27, 35)))	Our company is superior in location and convenient in transportation.
0.7005288659799959		SimpleArgument(Our company,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(superior in location,List([15, 35)))	Our company is superior in location and convenient in transportation.
0.9980000257492065		SimpleArgument(the manufacturing site,List([0, 0)))	Relation(has The area of,List([0, 0)))	SimpleArgument(more than 20,List(null))	The area of the manufacturing site is more than 20, 000sqm.
0.8650711633745519		SimpleArgument(The area of the manufacturing site,List([0, 34)))	Relation(is,List([35, 37)))	SimpleArgument(more than 20,List([38, 50)))	The area of the manufacturing site is more than 20, 000sqm.
0.896604430840561		SimpleArgument(experienced professional managers,List([18, 51)))	Relation(engineering,List([56, 67)))	SimpleArgument(technical personnel,List([68, 87)))	We have a team of experienced professional managers and engineering technical personnel.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(a team of experienced professional managers,List([8, 51)))	We have a team of experienced professional managers and engineering technical personnel.
0.45592395356914683		SimpleArgument(We,List([0, 2)))	Relation(purchased,List([13, 22)))	SimpleArgument(advanced automatic ACP,List([23, 45)))	We specially purchased advanced automatic ACP (Aluminum Composite Panel) production lines and an advanced test devices from Germany.
0.4112251698053916		SimpleArgument(We,List([0, 2)))	Relation(purchased,List([13, 22)))	SimpleArgument(production lines from Germany,List([75, 104)))	We specially purchased advanced automatic ACP (Aluminum Composite Panel) production lines and an advanced test devices from Germany.
0.4328394458044063		SimpleArgument(we,List([77, 79)))	Relation(use high - quality materials from,List([80, 83), [84, 108), [109, 113)))	SimpleArgument(Sweden,List([114, 120)))	Upholding the concept of ''Sincerity Based, the Pursuit of Excellence'', we use high-quality materials from the USA and Sweden and apply advanced aluminum-plastic production technology from Japan to manufacture high class ACP for interior and exterior finishes.
0.4328394458044063		SimpleArgument(we,List([77, 79)))	Relation(use high - quality materials from,List([80, 83), [84, 108), [109, 113)))	SimpleArgument(the USA,List([114, 121)))	Upholding the concept of ''Sincerity Based, the Pursuit of Excellence'', we use high-quality materials from the USA and Sweden and apply advanced aluminum-plastic production technology from Japan to manufacture high class ACP for interior and exterior finishes.
0.3880890333449538		SimpleArgument(we,List([77, 79)))	Relation(use,List([80, 83)))	SimpleArgument(high - quality materials,List([84, 108)))	Upholding the concept of ''Sincerity Based, the Pursuit of Excellence'', we use high-quality materials from the USA and Sweden and apply advanced aluminum-plastic production technology from Japan to manufacture high class ACP for interior and exterior finishes.
0.8574981706501229		SimpleArgument(Xinghe,List([12, 18)))	Relation(has successfully passed the evaluation of ISO2001 certifications,List([19, 42), [43, 83)))	TemporalArgument(Meanwhile,List([0, 9)))	Meanwhile, Xinghe has established a set of strict quality assurance system and successfully passed the evaluation of ISO9001 and ISO2001 certifications.
0.9324144673478683		SimpleArgument(Xinghe,List([12, 18)))	Relation(has successfully passed,List([19, 42)))	SimpleArgument(the evaluation of ISO2001 certifications,List([43, 83)))	Meanwhile, Xinghe has established a set of strict quality assurance system and successfully passed the evaluation of ISO9001 and ISO2001 certifications.
0.8574981706501229		SimpleArgument(Xinghe,List([12, 18)))	Relation(has successfully passed the evaluation of ISO9001 certifications,List([19, 42), [43, 83)))	TemporalArgument(Meanwhile,List([0, 9)))	Meanwhile, Xinghe has established a set of strict quality assurance system and successfully passed the evaluation of ISO9001 and ISO2001 certifications.
0.9324144673478683		SimpleArgument(Xinghe,List([12, 18)))	Relation(has successfully passed,List([19, 42)))	SimpleArgument(the evaluation of ISO9001 certifications,List([43, 83)))	Meanwhile, Xinghe has established a set of strict quality assurance system and successfully passed the evaluation of ISO9001 and ISO2001 certifications.
0.8574981706501229		SimpleArgument(Xinghe,List([12, 18)))	Relation(has established a set of strict quality assurance system,List([19, 34), [35, 75)))	TemporalArgument(Meanwhile,List([0, 9)))	Meanwhile, Xinghe has established a set of strict quality assurance system and successfully passed the evaluation of ISO9001 and ISO2001 certifications.
0.9197759696552441		SimpleArgument(Xinghe,List([12, 18)))	Relation(has established,List([19, 34)))	SimpleArgument(a set of strict quality assurance system,List([35, 75)))	Meanwhile, Xinghe has established a set of strict quality assurance system and successfully passed the evaluation of ISO9001 and ISO2001 certifications.
