0.5222094630377523		SimpleArgument(I,List({53}))	Relation(know,List([55, 59)))	SimpleArgument(many local families,List([60, 79)))	As a Personal Financial Representative in Las Vegas, I know many local families.
0.39746064682094406	Context(understanding of the people in this community help,List([0, 50)))	SimpleArgument(me,List([51, 53)))	Relation(provide,List([54, 61)))	SimpleArgument(customers,List([62, 71)))	My knowledge and understanding of the people in this community help me provide customers with an outstanding level of service.
0.8969734031095967		SimpleArgument(understanding of the people in this community,List([0, 45)))	Relation(help,List([46, 50)))	SimpleArgument(me provide customers with an outstanding level of service,List([51, 108)))	My knowledge and understanding of the people in this community help me provide customers with an outstanding level of service.
0.39746064682094406	Context(My knowledge of the people in this community help,List([0, 49)))	SimpleArgument(me,List([50, 52)))	Relation(provide,List([53, 60)))	SimpleArgument(customers,List([61, 70)))	My knowledge and understanding of the people in this community help me provide customers with an outstanding level of service.
0.6448169967867947		SimpleArgument(My knowledge of the people in this community,List([0, 44)))	Relation(help,List([45, 49)))	SimpleArgument(me provide customers with an outstanding level of service,List([50, 107)))	My knowledge and understanding of the people in this community help me provide customers with an outstanding level of service.
0.6102681952060299	Context(I look forward to helping,List([0, 25)))	SimpleArgument(families like yours,List([26, 45)))	Relation(protect,List([46, 53)))	SimpleArgument(the things that are important - your more,List([54, 95)))	I look forward to helping families like yours protect the things that are important - your family, home, car and more.
0.44721489764299094		SimpleArgument(the things,List([54, 64)))	Relation(are,List([70, 73)))	SimpleArgument(important - your more,List([74, 95)))	I look forward to helping families like yours protect the things that are important - your family, home, car and more.
0.6102681952060299	Context(I look forward to helping,List([0, 25)))	SimpleArgument(families like yours,List([26, 45)))	Relation(protect,List([46, 53)))	SimpleArgument(the things that are important - your car,List([54, 94)))	I look forward to helping families like yours protect the things that are important - your family, home, car and more.
0.44721489764299094		SimpleArgument(the things,List([54, 64)))	Relation(are,List([70, 73)))	SimpleArgument(important - your car,List([74, 94)))	I look forward to helping families like yours protect the things that are important - your family, home, car and more.
0.6102681952060299	Context(I look forward to helping,List([0, 25)))	SimpleArgument(families like yours,List([26, 45)))	Relation(protect,List([46, 53)))	SimpleArgument(the things that are important - your home,List([54, 95)))	I look forward to helping families like yours protect the things that are important - your family, home, car and more.
0.44721489764299094		SimpleArgument(the things,List([54, 64)))	Relation(are,List([70, 73)))	SimpleArgument(important - your home,List([74, 95)))	I look forward to helping families like yours protect the things that are important - your family, home, car and more.
0.6102681952060299	Context(I look forward to helping,List([0, 25)))	SimpleArgument(families like yours,List([26, 45)))	Relation(protect,List([46, 53)))	SimpleArgument(the things that are important - your family,List([54, 97)))	I look forward to helping families like yours protect the things that are important - your family, home, car and more.
0.3458137171542221	Context(I look forward,List([0, 14)))	SimpleArgument(I,List({0}))	Relation(look forward to helping,List([2, 14), [15, 25)))	SimpleArgument(protect the things,List([46, 64)))	I look forward to helping families like yours protect the things that are important - your family, home, car and more.
0.3880890333449538		SimpleArgument(I,List({0}))	Relation(look forward to,List([2, 14), [15, 17)))	SimpleArgument(helping families like yours protect the things,List([18, 64)))	I look forward to helping families like yours protect the things that are important - your family, home, car and more.
0.44721489764299094		SimpleArgument(the things,List([54, 64)))	Relation(are,List([70, 73)))	SimpleArgument(important - your family,List([74, 97)))	I look forward to helping families like yours protect the things that are important - your family, home, car and more.
0.40081383130177484	Context(I can help,List([0, 15)))	SimpleArgument(you,List([16, 19)))	Relation(prepare,List([20, 27)))	SimpleArgument(a strategy to achieve your financial goals,List([28, 70)))	I can also help you prepare a strategy to achieve your financial goals.
0.183516546672029		SimpleArgument(I,List({0}))	Relation(can help,List([2, 5), [11, 15)))	SimpleArgument(you prepare a strategy,List([16, 38)))	I can also help you prepare a strategy to achieve your financial goals.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(started this new agency in,List([3, 10), [11, 26), [27, 29)))	TemporalArgument(2012 here in Henderson,List([30, 52)))	We started this new agency in 2012 here in Henderson, Nevada near the intersection of the I 215 and Eastern Avenue.
0.46321337686369213		SimpleArgument(We,List([0, 2)))	Relation(started this new agency in,List([3, 10), [11, 26), [27, 29)))	TemporalArgument(2012 here in Henderson , Nevada near the intersection of the I and Eastern Avenue,List([30, 111)))	We started this new agency in 2012 here in Henderson, Nevada near the intersection of the I 215 and Eastern Avenue.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(started,List([3, 10)))	SimpleArgument(this new agency,List([11, 26)))	We started this new agency in 2012 here in Henderson, Nevada near the intersection of the I 215 and Eastern Avenue.
0.515999972820282		SimpleArgument(We,List([0, 0)))	Relation(have [number of] licensed staff members,List([0, 0)))	SimpleArgument(4,List(null))	We currently have 4 licensed staff members with over 50 years of Allstate insurance experience to serve our clients.
0.9089999794960022		SimpleArgument(We,List([0, 0)))	Relation(have licensed staff members with,List([0, 0)))	SimpleArgument(over 50 years,List(null))	We currently have 4 licensed staff members with over 50 years of Allstate insurance experience to serve our clients.
0.15966102676195504	Context(We have,List([0, 17)))	SimpleArgument(We,List([0, 2)))	Relation(have 4 licensed staff members to serve,List([13, 17), [18, 28)))	SimpleArgument(our clients,List([104, 115)))	We currently have 4 licensed staff members with over 50 years of Allstate insurance experience to serve our clients.
0.25239008486941794		SimpleArgument(We,List([0, 2)))	Relation(have 4 licensed staff members,List([13, 17), [18, 42)))	TemporalArgument(currently,List([3, 12)))	We currently have 4 licensed staff members with over 50 years of Allstate insurance experience to serve our clients.
0.3490079869984017		SimpleArgument(We,List([0, 2)))	Relation(have 4 licensed staff members with,List([13, 17), [18, 42), [43, 47)))	TemporalArgument(over 50 years of Allstate insurance experience,List([48, 94)))	We currently have 4 licensed staff members with over 50 years of Allstate insurance experience to serve our clients.
0.3490079869984017		SimpleArgument(We,List([0, 2)))	Relation(have,List([13, 17)))	SimpleArgument(4 licensed staff members,List([18, 42)))	We currently have 4 licensed staff members with over 50 years of Allstate insurance experience to serve our clients.
0.8942434158739456		SimpleArgument(family,List([9, 15)))	Relation(owned,List([16, 21)))	SimpleArgument(agency,List([22, 28)))	We are a family owned agency and strive to treat each of our customers with the utmost respect.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(a family owned agency,List([7, 28)))	We are a family owned agency and strive to treat each of our customers with the utmost respect.
0.1273814832686296	Context(I moved,List([0, 7)))	SimpleArgument(I,List({0}))	Relation(moved my family to begin our new Allstate Agency,List([2, 7), [8, 17), [43, 59)))	SpatialArgument(here,List([76, 80)))	I moved my family to Las Vegas 3 years ago to begin our new Allstate Agency here.
0.21288447818594716	Context(I moved,List([0, 7)))	SimpleArgument(I,List({0}))	Relation(moved my family to begin,List([2, 7), [8, 17)))	SimpleArgument(our new Allstate Agency,List([52, 75)))	I moved my family to Las Vegas 3 years ago to begin our new Allstate Agency here.
0.21288447818594716		SimpleArgument(I,List({0}))	Relation(moved my family to,List([2, 7), [8, 17), [43, 45)))	SimpleArgument(begin our new Allstate Agency here,List([46, 80)))	I moved my family to Las Vegas 3 years ago to begin our new Allstate Agency here.
0.3458137171542221		SimpleArgument(I,List({0}))	Relation(moved my family,List([2, 7), [8, 17)))	TemporalArgument(3 years ago,List([31, 42)))	I moved my family to Las Vegas 3 years ago to begin our new Allstate Agency here.
0.4328394458044063		SimpleArgument(I,List({0}))	Relation(moved my family to,List([2, 7), [8, 17), [18, 20)))	SimpleArgument(Las Vegas,List([21, 30)))	I moved my family to Las Vegas 3 years ago to begin our new Allstate Agency here.
0.2560951955542683		SimpleArgument(I,List({0}))	Relation(moved,List([2, 7)))	SimpleArgument(my family,List([8, 17)))	I moved my family to Las Vegas 3 years ago to begin our new Allstate Agency here.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(are blessed with,List([2, 13), [14, 18)))	SimpleArgument(2 children,List([19, 29)))	My wife Laura and I have been married over 28 years and are blessed with 2 children.
0.598467018900354		SimpleArgument(My wife,List([0, 7)))	Relation(are blessed with,List([14, 25), [26, 30)))	SimpleArgument(2 children,List([31, 41)))	My wife Laura and I have been married over 28 years and are blessed with 2 children.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have been married over,List([2, 19), [20, 24)))	TemporalArgument(28 years,List([25, 33)))	My wife Laura and I have been married over 28 years and are blessed with 2 children.
0.9929999709129333		SimpleArgument(My wife,List([0, 0)))	Relation(have been married over,List([0, 0)))	SimpleArgument(28 years,List(null))	My wife Laura and I have been married over 28 years and are blessed with 2 children.
0.886695286966665		SimpleArgument(Laura,List([8, 13)))	Relation([is] wife [of],List([3, 7)))	SimpleArgument(Mine,List([0, 2)))	My wife Laura and I have been married over 28 years and are blessed with 2 children.
0.598467018900354		SimpleArgument(My wife,List([0, 7)))	Relation(have been married over,List([14, 31), [32, 36)))	TemporalArgument(28 years,List([37, 45)))	My wife Laura and I have been married over 28 years and are blessed with 2 children.
0.5961061943937731		SimpleArgument(we,List([45, 47)))	Relation(had lived our whole lives,List([48, 57), [58, 73)))	SpatialArgument(Missouri,List([30, 38)))	We moved here from St. Louis, Missouri where we had lived our whole lives.
0.30899953469486874		SimpleArgument(we,List([45, 47)))	Relation(had lived,List([48, 57)))	SimpleArgument(our whole lives,List([58, 73)))	We moved here from St. Louis, Missouri where we had lived our whole lives.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(moved here from,List([3, 8), [9, 13), [14, 18)))	SimpleArgument(St. Louis,List([19, 28)))	We moved here from St. Louis, Missouri where we had lived our whole lives.
0.22506131975927415		SimpleArgument(We,List([0, 2)))	Relation(moved,List([3, 8)))	SimpleArgument(here,List([9, 13)))	We moved here from St. Louis, Missouri where we had lived our whole lives.
0.3048426724432105		SimpleArgument(I,List({0}))	Relation(had managed a large regional foodservice brokerage company in St. Louis,List([13, 24), [25, 84)))	TemporalArgument(previously,List([2, 12)))	I previously had managed a large regional foodservice brokerage company in St. Louis for over 25 years.
0.41051436014453063		SimpleArgument(I,List({0}))	Relation(had managed a large regional foodservice brokerage company in St. Louis for,List([13, 24), [25, 84), [85, 88)))	TemporalArgument(over 25 years,List([89, 102)))	I previously had managed a large regional foodservice brokerage company in St. Louis for over 25 years.
0.45592395356914683		SimpleArgument(I,List({0}))	Relation(had managed,List([13, 24)))	SimpleArgument(a large regional foodservice brokerage company in St. Louis,List([25, 84)))	I previously had managed a large regional foodservice brokerage company in St. Louis for over 25 years.
0.39746064682094406	Context(I try,List([0, 5)))	SimpleArgument(I,List({0}))	Relation(try to do,List([2, 5), [6, 11)))	SimpleArgument(what is best for every client,List([12, 41)))	I have a strong work ethic and try to do what is best for each and every client.
0.39746064682094406		SimpleArgument(I,List({0}))	Relation(try to,List([2, 5), [6, 8)))	SimpleArgument(do what is best for every client,List([9, 41)))	I have a strong work ethic and try to do what is best for each and every client.
0.1886694268496255	Context(I try,List([0, 5)))	SimpleArgument(I,List({0}))	Relation(try to do,List([2, 5), [6, 11)))	SimpleArgument(what is best for each,List([12, 33)))	I have a strong work ethic and try to do what is best for each and every client.
0.1886694268496255		SimpleArgument(I,List({0}))	Relation(try to,List([2, 5), [6, 8)))	SimpleArgument(do what is best for each,List([9, 33)))	I have a strong work ethic and try to do what is best for each and every client.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have,List([2, 6)))	SimpleArgument(a strong work ethic,List([7, 26)))	I have a strong work ethic and try to do what is best for each and every client.
