0.3880890333449538	Context(he began,List([44, 52)))	SimpleArgument(Marco Colombino,List([44, 46)))	Relation(began to handle,List([47, 52), [53, 62)))	SimpleArgument(record-players and mixers,List([63, 88)))	Always a lover of music, at 16 years of age he began to handle record-players and mixers.
0.4820971422465561		SimpleArgument(Marco Colombino,List([44, 46)))	Relation(began to handle record - players and mixers at,List([25, 27), [47, 81), [82, 88)))	TemporalArgument(16 years of age,List([28, 43)))	Always a lover of music, at 16 years of age he began to handle record-players and mixers.
0.3880890333449538		SimpleArgument(Marco Colombino,List([44, 46)))	Relation(began to,List([47, 52), [53, 55)))	SimpleArgument(handle record-players and mixers,List([56, 88)))	Always a lover of music, at 16 years of age he began to handle record-players and mixers.
0.17853087458024205	Context(He was starting,List([0, 15)))	SimpleArgument(Marco Colombino,List([0, 2)))	Relation(was starting with his first mixes at private parties proposing deep techno sound,List([3, 15), [16, 20), [21, 36)))	TemporalArgument(initially,List([79, 88)))	He was starting with his first mixes at private parties organised by himself, initially proposing deep techno sound and beginning to be recognised in his home country with this style in discos in Sardinia Island.
0.292827695956731	Context(He was starting,List([0, 15)))	SimpleArgument(Marco Colombino,List([0, 2)))	Relation(was starting with his first mixes at private parties proposing,List([3, 15), [16, 20)))	SimpleArgument(deep techno sound,List([99, 116)))	He was starting with his first mixes at private parties organised by himself, initially proposing deep techno sound and beginning to be recognised in his home country with this style in discos in Sardinia Island.
0.2560951955542683		SimpleArgument(Marco Colombino,List([0, 2)))	Relation(was starting with,List([3, 15), [16, 20)))	SimpleArgument(his first mixes at private parties,List([21, 55)))	He was starting with his first mixes at private parties organised by himself, initially proposing deep techno sound and beginning to be recognised in his home country with this style in discos in Sardinia Island.
0.8348583869532935		SimpleArgument(private parties,List([40, 55)))	Relation(organised by,List([56, 65), [66, 68)))	SimpleArgument(Marco Colombino,List([69, 76)))	He was starting with his first mixes at private parties organised by himself, initially proposing deep techno sound and beginning to be recognised in his home country with this style in discos in Sardinia Island.
0.9289970170699797		SimpleArgument(a refined tech - house.In march 2012,List([61, 97)))	Relation(start,List([98, 103)))	SimpleArgument(his Own Label,List([104, 117)))	"However, after approximately a year he goes on to research more refined sounds, looking for a mixed technique that was much more particular and incisive in Emerald Coast proposing a refined tech-house.In march 2012 start his Own Label ""deep:on"" with his friend Max Latino and after a full summer in Ibiza he have new influences sound in his head!!"
0.9297147399762508		SimpleArgument(Emerald Coast,List([37, 50)))	Relation(proposing,List([51, 60)))	"SimpleArgument(a refined tech - house.In march 2012 start his Own Label "" deep:on "" with his friend Max Latino and after a full summer in Ibiza,List([61, 189)))"	"However, after approximately a year he goes on to research more refined sounds, looking for a mixed technique that was much more particular and incisive in Emerald Coast proposing a refined tech-house.In march 2012 start his Own Label ""deep:on"" with his friend Max Latino and after a full summer in Ibiza he have new influences sound in his head!!"
0.3853208301752743		SimpleArgument(Max Latino,List([133, 143)))	Relation([is] friend [of],List([126, 132)))	SimpleArgument(him,List([122, 125)))	"However, after approximately a year he goes on to research more refined sounds, looking for a mixed technique that was much more particular and incisive in Emerald Coast proposing a refined tech-house.In march 2012 start his Own Label ""deep:on"" with his friend Max Latino and after a full summer in Ibiza he have new influences sound in his head!!"
0.8348583869532935		SimpleArgument(new influences,List([185, 199)))	Relation(sound in,List([200, 205), [206, 208)))	SimpleArgument(his head,List([209, 217)))	"However, after approximately a year he goes on to research more refined sounds, looking for a mixed technique that was much more particular and incisive in Emerald Coast proposing a refined tech-house.In march 2012 start his Own Label ""deep:on"" with his friend Max Latino and after a full summer in Ibiza he have new influences sound in his head!!"
