0.38089450366724514		SimpleArgument(Wallace,List([34, 41)))	Relation([is] Banker [of],List([27, 33)))	SimpleArgument(Coldwell,List([18, 26)))	The Greene Team - Coldwell Banker Wallace & Wallace Realtors
0.9569065201547587		SimpleArgument(The Greene Team - Coldwell,List([0, 15)))	Relation(is,List([16, 18)))	SimpleArgument(members of all 3 local MLS,List([19, 45)))	The Greene Team is members of all 3 local MLS (Knoxville, Great Smoky Mountain, & Lakeway).
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(sell luxury homes in,List([3, 7), [8, 20), [21, 23)))	SpatialArgument(the surrounding counties,List([24, 48)))	We list and sell land, investment, residentail, and luxury homes in Knoxville and the surrounding counties.
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(sell,List([3, 7)))	SimpleArgument(luxury homes,List([8, 20)))	We list and sell land, investment, residentail, and luxury homes in Knoxville and the surrounding counties.
0.5680679595514976		SimpleArgument(We,List([0, 2)))	Relation(sell,List([3, 7)))	SimpleArgument(luxury homes in Knoxville,List([8, 33)))	We list and sell land, investment, residentail, and luxury homes in Knoxville and the surrounding counties.
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(sell,List([3, 7)))	SimpleArgument(residentail,List([8, 19)))	We list and sell land, investment, residentail, and luxury homes in Knoxville and the surrounding counties.
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(sell,List([3, 7)))	SimpleArgument(investment,List([8, 18)))	We list and sell land, investment, residentail, and luxury homes in Knoxville and the surrounding counties.
0.5222094630377523		SimpleArgument(We,List([0, 2)))	Relation(sell,List([3, 7)))	SimpleArgument(land,List([8, 12)))	We list and sell land, investment, residentail, and luxury homes in Knoxville and the surrounding counties.
0.8016573080327372		SimpleArgument(Traci,List([0, 5)))	Relation(has been a top selling agent since,List([6, 14), [15, 34), [35, 40)))	TemporalArgument(2000,List([41, 45)))	Traci has been a top selling agent since 2000.
0.9197759696552441		SimpleArgument(Traci,List([0, 5)))	Relation(has been,List([6, 14)))	SimpleArgument(a top selling agent,List([15, 34)))	Traci has been a top selling agent since 2000.
0.8430854293495713	Context(She got to help,List([0, 33)))	SimpleArgument(Husband,List([38, 45)))	Relation(sell,List([90, 94)))	SimpleArgument(his new construction homes,List([95, 121)))	She got into the business to help her Husband, Calvin Greene with C.L. Greene Development sell his new construction homes.
0.3991576880142734	Context(She got,List([0, 7)))	SimpleArgument(Traci,List([0, 3)))	Relation(got into the business to help her,List([4, 7), [8, 16), [17, 25)))	SimpleArgument(Husband, Calvin Greene with C.L. Greene Development sell his new construction homes,List([38, 121)))	She got into the business to help her Husband, Calvin Greene with C.L. Greene Development sell his new construction homes.
0.2560951955542683	Context(She got,List([0, 7)))	SimpleArgument(Traci,List([0, 3)))	Relation(got into the business to help,List([4, 7), [8, 16)))	SimpleArgument(Traci,List([34, 37)))	She got into the business to help her Husband, Calvin Greene with C.L. Greene Development sell his new construction homes.
0.3991576880142734		SimpleArgument(Traci,List([0, 3)))	Relation(got into the business to,List([4, 7), [8, 25), [26, 28)))	SimpleArgument(help her Husband, Calvin Greene with C.L. Greene Development sell his new construction homes,List([29, 121)))	She got into the business to help her Husband, Calvin Greene with C.L. Greene Development sell his new construction homes.
0.3880890333449538		SimpleArgument(Traci,List([0, 3)))	Relation(got into,List([4, 7), [8, 12)))	SimpleArgument(the business,List([13, 25)))	She got into the business to help her Husband, Calvin Greene with C.L. Greene Development sell his new construction homes.
0.515999972820282		SimpleArgument(her Husband, Calvin Greene with C.L. Greene Development,List([0, 0)))	Relation(have [number of] beautiful daughters have grown in the real estate business,List([0, 0)))	SimpleArgument(4,List(null))	They have 4 beautiful daughters who have grown up in the real estate business.
0.9990000128746033		SimpleArgument(her Husband, Calvin Greene with C.L. Greene Development,List([0, 0)))	Relation(have,List([0, 0)))	SimpleArgument(4 beautiful daughters,List(null))	They have 4 beautiful daughters who have grown up in the real estate business.
0.896604430840561		SimpleArgument(4 beautiful daughters,List([10, 31)))	Relation(have grown up in,List([36, 49), [50, 52)))	SpatialArgument(the business,List([53, 77)))	They have 4 beautiful daughters who have grown up in the real estate business.
0.7196671313632028		SimpleArgument(her Husband, Calvin Greene with C.L. Greene Development,List([0, 4)))	Relation(have,List([5, 9)))	SimpleArgument(4 beautiful daughters who have grown up in the real estate business,List([10, 77)))	They have 4 beautiful daughters who have grown up in the real estate business.
0.886695286966665		SimpleArgument(Kendra,List([13, 19)))	Relation([is] daughter [of],List([4, 12)))	SimpleArgument(Hers,List([0, 3)))	Her daughter Kendra started in real estate as Traci's assistant while she was in college getting a marketing degree.
0.41051436014453063		SimpleArgument(Kendra,List([70, 73)))	Relation(getting,List([89, 96)))	SimpleArgument(a marketing degree,List([97, 115)))	Her daughter Kendra started in real estate as Traci's assistant while she was in college getting a marketing degree.
0.45170382506656653		SimpleArgument(Kendra,List([70, 73)))	Relation(was in,List([74, 77), [78, 80)))	SimpleArgument(college,List([81, 88)))	Her daughter Kendra started in real estate as Traci's assistant while she was in college getting a marketing degree.
0.5393733661150139		SimpleArgument(Her daughter,List([0, 12)))	Relation(started as,List([20, 27), [43, 45)))	SimpleArgument(Traci's assistant,List([46, 63)))	Her daughter Kendra started in real estate as Traci's assistant while she was in college getting a marketing degree.
0.5916336849073273		SimpleArgument(Her daughter,List([0, 12)))	Relation(started as Traci 's assistant in,List([20, 27), [28, 53), [54, 63)))	SpatialArgument(Real Estate,List([31, 42)))	Her daughter Kendra started in real estate as Traci's assistant while she was in college getting a marketing degree.
0.45170382506656653		SimpleArgument(Kendra,List([0, 3)))	Relation(bought her first investment property at,List([4, 10), [11, 40), [41, 43)))	TemporalArgument(age 18,List([44, 50)))	She bought her first investment property at age 18.
0.30899953469486874		SimpleArgument(Kendra,List([0, 3)))	Relation(bought,List([4, 10)))	SimpleArgument(her first investment property,List([11, 40)))	She bought her first investment property at age 18.
0.22506131975927415		SimpleArgument(Kendra,List([0, 3)))	Relation(started her real estate career in,List([4, 11), [12, 34), [35, 37)))	TemporalArgument(2013,List([38, 42)))	She graduated college, got married, and started her real estate career in 2013.
0.30899953469486874		SimpleArgument(Kendra,List([0, 3)))	Relation(started,List([4, 11)))	SimpleArgument(her real estate career,List([12, 34)))	She graduated college, got married, and started her real estate career in 2013.
0.27813615858960106		SimpleArgument(Kendra,List([0, 3)))	Relation(got,List([4, 7)))	SimpleArgument(married,List([8, 15)))	She graduated college, got married, and started her real estate career in 2013.
0.45170382506656653		SimpleArgument(Kendra,List([0, 3)))	Relation(graduated,List([4, 13)))	SimpleArgument(college,List([14, 21)))	She graduated college, got married, and started her real estate career in 2013.
0.22506131975927415		SimpleArgument(Kendra,List([0, 3)))	Relation(has been growing her business,List([4, 20), [21, 33)))	TemporalArgument(ever since,List([34, 44)))	She was youngest agent to ever join Coldwell Banker Wallace & Wallace at age 21 and she has been growing her business ever since.
0.30899953469486874		SimpleArgument(Kendra,List([0, 3)))	Relation(has been growing,List([4, 20)))	SimpleArgument(the business,List([21, 33)))	She was youngest agent to ever join Coldwell Banker Wallace & Wallace at age 21 and she has been growing her business ever since.
0.38089450366724514		SimpleArgument(Wallace,List([52, 59)))	Relation([is] Banker [of],List([45, 51)))	SimpleArgument(Coldwell,List([36, 44)))	She was youngest agent to ever join Coldwell Banker Wallace & Wallace at age 21 and she has been growing her business ever since.
0.6783685094789625		SimpleArgument(Kendra,List([0, 3)))	Relation(was,List([4, 7)))	SimpleArgument(youngest agent to ever join Coldwell Banker Wallace & Wallace at age 21,List([8, 79)))	She was youngest agent to ever join Coldwell Banker Wallace & Wallace at age 21 and she has been growing her business ever since.
0.9569065201547587		SimpleArgument(Kendra,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(the team lead for the Greene Team,List([23, 56)))	Kendra Greene Ellis is the team lead for the Greene Team.
0.6926687706697026	Context(She watching,List([0, 51)))	SimpleArgument(her parents,List([52, 63)))	Relation(sell,List([64, 68)))	SimpleArgument(Real Estate,List([69, 80)))	She has grown up in the real estate market watching her parents buy and sell Real Estate.
0.2669714378738131		SimpleArgument(Kendra,List([0, 3)))	Relation(watching,List([43, 51)))	SimpleArgument(her parents sell Real Estate,List([52, 80)))	She has grown up in the real estate market watching her parents buy and sell Real Estate.
0.30962689555656414		SimpleArgument(Kendra,List([0, 3)))	Relation(has grown up,List([4, 16)))	SimpleArgument(watching her parents sell Real Estate,List([43, 80)))	She has grown up in the real estate market watching her parents buy and sell Real Estate.
0.2323445791424426		SimpleArgument(Kendra,List([0, 3)))	Relation(watching,List([43, 51)))	SimpleArgument(her parents buy,List([52, 67)))	She has grown up in the real estate market watching her parents buy and sell Real Estate.
0.27151678565896326		SimpleArgument(Kendra,List([0, 3)))	Relation(has grown up,List([4, 16)))	SimpleArgument(watching her parents buy,List([43, 67)))	She has grown up in the real estate market watching her parents buy and sell Real Estate.
0.45170382506656653		SimpleArgument(Kendra,List([0, 3)))	Relation(has grown up in,List([4, 16), [17, 19)))	SpatialArgument(the real estate market,List([20, 42)))	She has grown up in the real estate market watching her parents buy and sell Real Estate.
0.45170382506656653		SimpleArgument(Kendra,List([0, 3)))	Relation(bought her first investment property at,List([4, 10), [11, 40), [41, 43)))	TemporalArgument(the age of 18,List([44, 57)))	She went to Real Estate School and bought her first investment property at the age of 18.
0.30899953469486874		SimpleArgument(Kendra,List([0, 3)))	Relation(bought,List([4, 10)))	SimpleArgument(her first investment property,List([11, 40)))	She went to Real Estate School and bought her first investment property at the age of 18.
0.4978219019954182		SimpleArgument(Kendra,List([0, 3)))	Relation(went to,List([4, 8), [9, 11)))	SimpleArgument(Real Estate School,List([12, 30)))	She went to Real Estate School and bought her first investment property at the age of 18.
0.4328394458044063	Context(she started,List([22, 33)))	SimpleArgument(Kendra,List([22, 25)))	Relation(started selling,List([26, 33), [34, 41)))	SimpleArgument(Real Estate,List([42, 53)))	After getting a marketing degree and getting married she started selling Real Estate.
0.24707677063501074		SimpleArgument(Kendra,List([22, 25)))	Relation(started selling Real Estate After,List([0, 5), [26, 46), [47, 53)))	TemporalArgument(getting married,List([6, 21)))	After getting a marketing degree and getting married she started selling Real Estate.
0.4328394458044063	Context(she started,List([33, 44)))	SimpleArgument(Kendra,List([33, 36)))	Relation(started selling,List([37, 44), [45, 52)))	SimpleArgument(Real Estate,List([53, 64)))	After getting a marketing degree and getting married she started selling Real Estate.
0.4820971422465561		SimpleArgument(Kendra,List([33, 36)))	Relation(started selling Real Estate After,List([0, 5), [37, 57), [58, 64)))	TemporalArgument(getting a marketing degree,List([6, 32)))	After getting a marketing degree and getting married she started selling Real Estate.
0.4328394458044063		SimpleArgument(Kendra,List([33, 36)))	Relation(started,List([37, 44)))	SimpleArgument(selling Real Estate,List([45, 64)))	After getting a marketing degree and getting married she started selling Real Estate.
0.9197759696552441		SimpleArgument(Kendra,List([0, 6)))	Relation(has help many sellers in,List([7, 15), [16, 28), [29, 31)))	SpatialArgument(the surrounding areas,List([32, 53)))	Kendra has help many buyers and sellers in the Knoxville and surrounding areas.
0.9324144673478683		SimpleArgument(Kendra,List([0, 6)))	Relation(has help many sellers in,List([7, 15), [16, 28), [29, 31)))	SpatialArgument(the Knoxville,List([32, 45)))	Kendra has help many buyers and sellers in the Knoxville and surrounding areas.
0.9197759696552441		SimpleArgument(Kendra,List([0, 6)))	Relation(has help,List([7, 15)))	SimpleArgument(many sellers,List([16, 28)))	Kendra has help many buyers and sellers in the Knoxville and surrounding areas.
0.9197759696552441		SimpleArgument(Kendra,List([0, 6)))	Relation(has help many buyers in,List([7, 15), [16, 27), [28, 30)))	SpatialArgument(the surrounding areas,List([31, 52)))	Kendra has help many buyers and sellers in the Knoxville and surrounding areas.
0.9324144673478683		SimpleArgument(Kendra,List([0, 6)))	Relation(has help many buyers in,List([7, 15), [16, 27), [28, 30)))	SpatialArgument(the Knoxville,List([31, 44)))	Kendra has help many buyers and sellers in the Knoxville and surrounding areas.
0.9197759696552441		SimpleArgument(Kendra,List([0, 6)))	Relation(has help,List([7, 15)))	SimpleArgument(many buyers,List([16, 27)))	Kendra has help many buyers and sellers in the Knoxville and surrounding areas.
0.45170382506656653		SimpleArgument(Kendra,List([0, 3)))	Relation(has been a Million Dollar Producer,List([4, 12), [13, 38)))	TemporalArgument(every year,List([39, 49)))	She was named the 2015 Rising Star for the Knoxville Area Association of Realtors and has been a Million Dollar Producer every year in her career.
0.4978219019954182		SimpleArgument(Kendra,List([0, 3)))	Relation(has been,List([4, 12)))	SimpleArgument(a Million Dollar Producer,List([13, 38)))	She was named the 2015 Rising Star for the Knoxville Area Association of Realtors and has been a Million Dollar Producer every year in her career.
0.6138676038426771		SimpleArgument(Kendra,List([0, 3)))	Relation(was named,List([4, 13)))	SimpleArgument(the 2015 Rising Star for the Knoxville Area Association of Realtors,List([14, 81)))	She was named the 2015 Rising Star for the Knoxville Area Association of Realtors and has been a Million Dollar Producer every year in her career.
