0.9314904193639496		SimpleArgument(an Italian multinational company,List([19, 51)))	Relation(headquartered in,List([52, 65), [66, 68)))	SpatialArgument(Piombino Dese,List([69, 82)))	Stevanato Group is an Italian multinational company headquartered in Piombino Dese, Padua – Italy.
0.9699974998635915		SimpleArgument(Stevanato Group,List([0, 15)))	Relation(is,List([16, 18)))	SimpleArgument(an Italian multinational company headquartered in Piombino Dese, Padua - Italy,List([19, 97)))	Stevanato Group is an Italian multinational company headquartered in Piombino Dese, Padua – Italy.
0.8772656277736296		SimpleArgument(services,List([44, 52)))	Relation(guarantee,List([58, 67)))	SimpleArgument(the integrity of parenteral medicines,List([68, 105)))	Founded in 1949, it is committed to create systems, processes and services that guarantee the integrity of parenteral medicines.
0.20279309649292268		SimpleArgument(it,List([18, 20)))	Relation(to create,List([34, 43)))	SimpleArgument(services that guarantee the integrity of parenteral medicines,List([44, 105)))	Founded in 1949, it is committed to create systems, processes and services that guarantee the integrity of parenteral medicines.
0.45170382506656653		SimpleArgument(it,List([18, 20)))	Relation(is committed to,List([21, 33), [34, 36)))	SimpleArgument(create services,List([37, 52)))	Founded in 1949, it is committed to create systems, processes and services that guarantee the integrity of parenteral medicines.
0.8772656277736296		SimpleArgument(processes,List([44, 53)))	Relation(guarantee,List([59, 68)))	SimpleArgument(the integrity of parenteral medicines,List([69, 106)))	Founded in 1949, it is committed to create systems, processes and services that guarantee the integrity of parenteral medicines.
0.20279309649292268		SimpleArgument(it,List([18, 20)))	Relation(to create,List([34, 43)))	SimpleArgument(processes that guarantee the integrity of parenteral medicines,List([44, 106)))	Founded in 1949, it is committed to create systems, processes and services that guarantee the integrity of parenteral medicines.
0.45170382506656653		SimpleArgument(it,List([18, 20)))	Relation(is committed to,List([21, 33), [34, 36)))	SimpleArgument(create processes,List([37, 53)))	Founded in 1949, it is committed to create systems, processes and services that guarantee the integrity of parenteral medicines.
0.8772656277736296		SimpleArgument(systems,List([44, 51)))	Relation(guarantee,List([57, 66)))	SimpleArgument(the integrity of parenteral medicines,List([67, 104)))	Founded in 1949, it is committed to create systems, processes and services that guarantee the integrity of parenteral medicines.
0.20279309649292268		SimpleArgument(it,List([18, 20)))	Relation(to create,List([34, 43)))	SimpleArgument(systems that guarantee the integrity of parenteral medicines,List([44, 104)))	Founded in 1949, it is committed to create systems, processes and services that guarantee the integrity of parenteral medicines.
0.3018651855507195		SimpleArgument(it,List([18, 20)))	Relation(is committed,List([21, 33)))	TemporalArgument(Founded in 1949,List([0, 15)))	Founded in 1949, it is committed to create systems, processes and services that guarantee the integrity of parenteral medicines.
0.45170382506656653		SimpleArgument(it,List([18, 20)))	Relation(is committed to,List([21, 33), [34, 36)))	SimpleArgument(create systems,List([37, 51)))	Founded in 1949, it is committed to create systems, processes and services that guarantee the integrity of parenteral medicines.
0.45170382506656653		SimpleArgument(it,List([18, 20)))	Relation(is also active in,List([21, 28), [29, 35), [36, 38)))	SpatialArgument(inspection systems sector,List([39, 64)))	Founded in 1949, it is also active in the glass tube forming technology and inspection systems sector.
0.45170382506656653		SimpleArgument(it,List([18, 20)))	Relation(is also active in,List([21, 28), [29, 35), [36, 38)))	SpatialArgument(the glass tube forming technology sector,List([39, 79)))	Founded in 1949, it is also active in the glass tube forming technology and inspection systems sector.
0.22506131975927415		SimpleArgument(it,List([18, 20)))	Relation(is also,List([21, 28)))	SimpleArgument(active,List([29, 35)))	Founded in 1949, it is also active in the glass tube forming technology and inspection systems sector.
