0.5680679595514976		SimpleArgument(I,List({3}))	Relation('m,List([4, 6)))	SimpleArgument(Bennett Timmerman,List([7, 24)))	Hi I'm Bennett Timmerman.
0.41051436014453063		SimpleArgument(I,List({43}))	Relation(loving,List([53, 59)))	SimpleArgument(the outdoors,List([60, 72)))	Originally from Saratoga Springs New York, I grew up loving the outdoors.
0.5961061943937731		SimpleArgument(I,List({43}))	Relation(grew up,List([45, 52)))	TemporalArgument(Originally from Saratoga Springs New York,List([0, 41)))	Originally from Saratoga Springs New York, I grew up loving the outdoors.
0.45170382506656653		SimpleArgument(I,List({43}))	Relation(grew up,List([45, 52)))	SimpleArgument(loving the outdoors,List([53, 72)))	Originally from Saratoga Springs New York, I grew up loving the outdoors.
0.7434269613309079		SimpleArgument(Skiing,List([0, 6)))	Relation(has been my true passion,List([7, 10), [18, 22), [23, 38)))	TemporalArgument(always,List([11, 17)))	Skiing has always been my true passion.
0.7497891627557155		SimpleArgument(Skiing,List([0, 6)))	Relation(has been,List([7, 10), [18, 22)))	SimpleArgument(my true passion,List([23, 38)))	Skiing has always been my true passion.
0.2743125465364158		SimpleArgument(I,List({0}))	Relation(to pursue,List([11, 20)))	SimpleArgument(my outdoor activities,List([21, 42)))	My family moved to Manchester Vermont my sophomore year of High School and I was able to pursue my outdoor activities.
0.3723576963542719		SimpleArgument(I,List({0}))	Relation(was,List([2, 5)))	SimpleArgument(able to pursue my outdoor activities,List([6, 42)))	My family moved to Manchester Vermont my sophomore year of High School and I was able to pursue my outdoor activities.
0.6796597830231682		SimpleArgument(My family,List([0, 9)))	Relation(moved to,List([10, 15), [16, 18)))	SimpleArgument(Manchester Vermont,List([19, 37)))	My family moved to Manchester Vermont my sophomore year of High School and I was able to pursue my outdoor activities.
0.183516546672029	Context(I spent helping,List([15, 69)))	SimpleArgument(I,List({15}))	Relation(spent a great deal of time helping to lead,List([17, 22), {23}, [25, 35)))	SimpleArgument(my team,List([78, 85)))	In High School I spent a great deal of time both on the lacrosse field and at the ice rink, helping to lead my team to a State Championship game my Senior year.
0.3880890333449538		SimpleArgument(I,List({15}))	Relation(spent a great deal of time at,List([17, 22), [23, 43), [44, 46)))	SpatialArgument(the ice rink,List([47, 59)))	In High School I spent a great deal of time both on the lacrosse field and at the ice rink, helping to lead my team to a State Championship game my Senior year.
0.183516546672029	Context(I spent helping,List([15, 80)))	SimpleArgument(I,List({15}))	Relation(spent a great deal of time helping to lead,List([17, 22), {23}, [25, 35)))	SimpleArgument(my team,List([89, 96)))	In High School I spent a great deal of time both on the lacrosse field and at the ice rink, helping to lead my team to a State Championship game my Senior year.
0.302522638185474	Context(I spent,List([15, 22)))	SimpleArgument(I,List({15}))	Relation(spent a great deal of time helping to,List([17, 22), {23}, [25, 30)))	SimpleArgument(lead my team to a State Championship game my Senior year,List([84, 140)))	In High School I spent a great deal of time both on the lacrosse field and at the ice rink, helping to lead my team to a State Championship game my Senior year.
0.5283282283527726		SimpleArgument(I,List({15}))	Relation(spent a great deal of time In,List([0, 2), [17, 38), [39, 43)))	SpatialArgument(High School,List([3, 14)))	In High School I spent a great deal of time both on the lacrosse field and at the ice rink, helping to lead my team to a State Championship game my Senior year.
0.3563788624423284		SimpleArgument(I,List({15}))	Relation(spent a great deal of time,List([17, 22), [23, 43)))	SimpleArgument(helping to lead my team to a State Championship game my Senior year,List([73, 140)))	In High School I spent a great deal of time both on the lacrosse field and at the ice rink, helping to lead my team to a State Championship game my Senior year.
0.45694023613443424		SimpleArgument(I,List({15}))	Relation(spent,List([17, 22)))	SimpleArgument(a great deal of time,List([23, 43)))	In High School I spent a great deal of time both on the lacrosse field and at the ice rink, helping to lead my team to a State Championship game my Senior year.
0.5031023801911841	Context(I have been attending,List([16, 37)))	SimpleArgument(I,List({16}))	Relation(have been attending Plymouth State University in beautiful Plymouth New Hampshire pursuing,List([18, 37), [38, 46)))	SimpleArgument(a degree in Adventure Education,List([109, 140)))	In recent years I have been attending Plymouth State University in beautiful Plymouth New Hampshire pursuing a degree in Adventure Education.
0.5525658376959267		SimpleArgument(I,List({16}))	Relation(have been attending Plymouth State University in beautiful Plymouth New Hampshire In,List([0, 27), [28, 89), [90, 99)))	TemporalArgument(recent years,List([3, 15)))	In recent years I have been attending Plymouth State University in beautiful Plymouth New Hampshire pursuing a degree in Adventure Education.
0.4328394458044063		SimpleArgument(I,List({16}))	Relation(have been attending,List([18, 37)))	SimpleArgument(Plymouth State University in beautiful Plymouth New Hampshire,List([38, 99)))	In recent years I have been attending Plymouth State University in beautiful Plymouth New Hampshire pursuing a degree in Adventure Education.
0.9030401971054747		SimpleArgument(a degree in Adventure Education,List([0, 11)))	Relation(has given me,List([12, 21), [22, 24)))	SimpleArgument(a hand full of opportunities,List([25, 53)))	This degree has given me a hand full of opportunities.
0.8348583869532935		SimpleArgument(a degree in Adventure Education,List([0, 11)))	Relation(has given,List([12, 21)))	SimpleArgument(me,List([22, 24)))	This degree has given me a hand full of opportunities.
0.8942434158739456		SimpleArgument(college,List([156, 163)))	Relation(comes to,List([164, 169), [170, 172)))	SimpleArgument(a close,List([173, 180)))	Most recently I have been pursuing some sales classes in Plymouth States nationally recognized, award winning sales program to widen my opportunities after college comes to a close.
0.8942434158739456		SimpleArgument(award,List([96, 101)))	Relation(winning,List([102, 109)))	SimpleArgument(sales program,List([110, 123)))	Most recently I have been pursuing some sales classes in Plymouth States nationally recognized, award winning sales program to widen my opportunities after college comes to a close.
0.3018651855507195		SimpleArgument(I,List({14}))	Relation(have been pursuing some sales classes,List([16, 34), [35, 53)))	TemporalArgument(Most recently,List([0, 13)))	Most recently I have been pursuing some sales classes in Plymouth States nationally recognized, award winning sales program to widen my opportunities after college comes to a close.
0.40710919743170804		SimpleArgument(I,List({14}))	Relation(have been pursuing some sales classes,List([16, 34), [35, 53)))	TemporalArgument(nationally recognized, award winning sales program,List([73, 123)))	Most recently I have been pursuing some sales classes in Plymouth States nationally recognized, award winning sales program to widen my opportunities after college comes to a close.
0.45170382506656653		SimpleArgument(I,List({14}))	Relation(have been pursuing,List([16, 34)))	SimpleArgument(some sales classes,List([35, 53)))	Most recently I have been pursuing some sales classes in Plymouth States nationally recognized, award winning sales program to widen my opportunities after college comes to a close.
0.9383119524695255		SimpleArgument(Common,List([0, 6)))	Relation(miss,List([7, 11)))	SimpleArgument(spellings,List([12, 21)))	Common miss spellings - Ben, Bennet, Bennit, Benit, Timberman, Timmermann, Timmermen
