0.8667629255623509		SimpleArgument(FL Catering team,List([36, 52)))	Relation(is,List([53, 55)))	SimpleArgument(ready to begin,List([56, 70)))	Our innovative, well-known Orlando, FL Catering team is ready to begin.
0.9382554258342916		SimpleArgument(Vital Flair,List([0, 11)))	Relation(began as,List([12, 17), [18, 20)))	SimpleArgument(a Corporate Catering Specialists,List([21, 53)))	Vital Flair began as a Corporate Catering Specialists.
0.9111779447320654		SimpleArgument(full service caterers,List([54, 75)))	Relation(providing,List([76, 85)))	SimpleArgument(weddings,List([86, 94)))	Throughout the years we have established ourselves as full service caterers providing themed events, social gatherings and weddings.
0.9111779447320654		SimpleArgument(full service caterers,List([54, 75)))	Relation(providing,List([76, 85)))	SimpleArgument(social gatherings,List([86, 103)))	Throughout the years we have established ourselves as full service caterers providing themed events, social gatherings and weddings.
0.9111779447320654		SimpleArgument(full service caterers,List([54, 75)))	Relation(providing,List([76, 85)))	SimpleArgument(themed events,List([86, 99)))	Throughout the years we have established ourselves as full service caterers providing themed events, social gatherings and weddings.
0.547338059826203		SimpleArgument(Our,List([21, 23)))	Relation(have established ourselves Throughout,List([0, 28), [29, 40), [41, 50)))	TemporalArgument(the years,List([11, 20)))	Throughout the years we have established ourselves as full service caterers providing themed events, social gatherings and weddings.
0.45170382506656653		SimpleArgument(Our,List([21, 23)))	Relation(have established ourselves as,List([24, 40), [41, 50), [51, 53)))	SimpleArgument(full service caterers,List([54, 75)))	Throughout the years we have established ourselves as full service caterers providing themed events, social gatherings and weddings.
0.30899953469486874		SimpleArgument(Our,List([21, 23)))	Relation(have established,List([24, 40)))	SimpleArgument(Our,List([41, 50)))	Throughout the years we have established ourselves as full service caterers providing themed events, social gatherings and weddings.
0.45170382506656653		SimpleArgument(Our,List([0, 2)))	Relation(have went to,List([3, 12), [13, 15)))	SimpleArgument(plated dinners with full bar services,List([16, 53)))	We have went from not just offering corporate drop-off service but to plated dinners with full bar services.
0.41051436014453063		SimpleArgument(Our,List([0, 2)))	Relation(from not just offering,List([13, 35)))	SimpleArgument(corporate drop - off service,List([36, 64)))	We have went from not just offering corporate drop-off service but to plated dinners with full bar services.
0.45170382506656653		SimpleArgument(Our,List([0, 2)))	Relation(have went from,List([3, 12), [13, 17)))	SimpleArgument(not just offering corporate drop - off service,List([18, 64)))	We have went from not just offering corporate drop-off service but to plated dinners with full bar services.
0.7939138237950305		SimpleArgument(Pam,List([0, 3)))	Relation(worked for,List([4, 10), [31, 34)))	TemporalArgument(20 years,List([35, 43)))	Pam, the owner is a graduate of Johnson & Wales University and has lived and worked in the Orlando area for 20 years.
0.876543225140763		SimpleArgument(Pam,List([0, 3)))	Relation(worked in,List([4, 10), [11, 13)))	SpatialArgument(the Orlando area,List([14, 30)))	Pam, the owner is a graduate of Johnson & Wales University and has lived and worked in the Orlando area for 20 years.
0.38089450366724514		SimpleArgument(the owner,List([6, 15)))	Relation(is a graduate of,List([16, 32)))	SimpleArgument(Johnson & Wales University,List([33, 59)))	Pam, the owner is a graduate of Johnson & Wales University and has lived and worked in the Orlando area for 20 years.
0.9369813267476892		SimpleArgument(the owner,List([6, 15)))	Relation(is,List([16, 18)))	SimpleArgument(a graduate of Johnson & Wales University,List([19, 59)))	Pam, the owner is a graduate of Johnson & Wales University and has lived and worked in the Orlando area for 20 years.
