0.9180804252893389		SimpleArgument(The phones,List([0, 10)))	Relation(are ringing off,List([11, 22), [23, 26)))	SimpleArgument(the hook at television home shopping company QVC,List([27, 75)))	The phones are ringing off the hook at television home shopping company QVC.
0.6381012045821894		SimpleArgument(its name,List([6, 14)))	Relation(stands for,List([15, 21), [22, 25)))	SimpleArgument(" convenience,List([26, 39)))	QVC (its name stands for "quality, value, and convenience") offers about 1,000 items each week to TV-tied consumer shoppers.
0.6381012045821894		SimpleArgument(its name,List([6, 14)))	Relation(stands for,List([15, 21), [22, 25)))	SimpleArgument(" value,List([26, 33)))	QVC (its name stands for "quality, value, and convenience") offers about 1,000 items each week to TV-tied consumer shoppers.
0.6381012045821894		SimpleArgument(its name,List([6, 14)))	Relation(stands for,List([15, 21), [22, 25)))	SimpleArgument(" quality,List([26, 35)))	QVC (its name stands for "quality, value, and convenience") offers about 1,000 items each week to TV-tied consumer shoppers.
0.9197759696552441		SimpleArgument(Merchandise,List([0, 11)))	Relation(includes,List([12, 20)))	SimpleArgument(toys,List([21, 25)))	Merchandise includes apparel, cosmetics, electronics, housewares, jewelry, and toys.
0.9197759696552441		SimpleArgument(Merchandise,List([0, 11)))	Relation(includes,List([12, 20)))	SimpleArgument(jewelry,List([21, 28)))	Merchandise includes apparel, cosmetics, electronics, housewares, jewelry, and toys.
0.9197759696552441		SimpleArgument(Merchandise,List([0, 11)))	Relation(includes,List([12, 20)))	SimpleArgument(housewares,List([21, 31)))	Merchandise includes apparel, cosmetics, electronics, housewares, jewelry, and toys.
0.9197759696552441		SimpleArgument(Merchandise,List([0, 11)))	Relation(includes,List([12, 20)))	SimpleArgument(electronics,List([21, 32)))	Merchandise includes apparel, cosmetics, electronics, housewares, jewelry, and toys.
0.9197759696552441		SimpleArgument(Merchandise,List([0, 11)))	Relation(includes,List([12, 20)))	SimpleArgument(cosmetics,List([21, 30)))	Merchandise includes apparel, cosmetics, electronics, housewares, jewelry, and toys.
0.9197759696552441		SimpleArgument(Merchandise,List([0, 11)))	Relation(includes,List([12, 20)))	SimpleArgument(apparel,List([21, 28)))	Merchandise includes apparel, cosmetics, electronics, housewares, jewelry, and toys.
0.3880890333449538	Context(viewers call in,List([30, 45)))	SimpleArgument(It,List([0, 2)))	Relation(broadcasts,List([3, 13)))	SimpleArgument(24 hours a day,List([14, 28)))	It broadcasts 24 hours a day; viewers call in their orders to one of its three US call centers.
0.7794154230651349		SimpleArgument(viewers,List([30, 37)))	Relation(call in,List([38, 45)))	SimpleArgument(their orders,List([46, 58)))	It broadcasts 24 hours a day; viewers call in their orders to one of its three US call centers.
0.4458627011997391	Context(you ca n't find,List([3, 17)))	SimpleArgument(you,List([23, 26)))	Relation('re shopping on,List([26, 38), [43, 45)))	SpatialArgument(the tube,List([46, 54)))	If you can't find what you're shopping for on the tube, it also sells online at QVC.com, through mobile apps, and some half dozen outlet stores in four states.
0.5175518168288219		SimpleArgument(you,List([3, 6)))	Relation(ca n't find,List([7, 17)))	SimpleArgument(what you're shopping for on the tube, it also sells online at QVC.com, through mobile apps, and some half dozen outlet stores in four states,List([18, 158)))	If you can't find what you're shopping for on the tube, it also sells online at QVC.com, through mobile apps, and some half dozen outlet stores in four states.
0.19710908353723788		SimpleArgument(it,List([56, 58)))	Relation(sells online at,List([64, 69), [70, 76), [77, 79)))	SimpleArgument(QVC.com,List([80, 87)))	If you can't find what you're shopping for on the tube, it also sells online at QVC.com, through mobile apps, and some half dozen outlet stores in four states.
0.24568194366203758		SimpleArgument(it,List([56, 58)))	Relation(sells,List([64, 69)))	SimpleArgument(online,List([70, 76)))	If you can't find what you're shopping for on the tube, it also sells online at QVC.com, through mobile apps, and some half dozen outlet stores in four states.
0.9369813267476892		SimpleArgument(The company,List([0, 11)))	Relation(has,List([12, 15)))	SimpleArgument(shopping channels in the UK,List([16, 43)))	The company has shopping channels in Germany, Japan, Italy, and the UK.
0.9369813267476892		SimpleArgument(The company,List([0, 11)))	Relation(has,List([12, 15)))	SimpleArgument(shopping channels in Italy,List([16, 42)))	The company has shopping channels in Germany, Japan, Italy, and the UK.
0.9369813267476892		SimpleArgument(The company,List([0, 11)))	Relation(has,List([12, 15)))	SimpleArgument(shopping channels in Japan,List([16, 42)))	The company has shopping channels in Germany, Japan, Italy, and the UK.
0.9369813267476892		SimpleArgument(The company,List([0, 11)))	Relation(has,List([12, 15)))	SimpleArgument(shopping channels in Germany,List([16, 44)))	The company has shopping channels in Germany, Japan, Italy, and the UK.
0.8847999636040884		SimpleArgument(QVC,List([0, 3)))	Relation(is a subsidiary of,List([4, 22)))	SimpleArgument(travel site operator Liberty Interactive,List([23, 63)))	QVC is a subsidiary of shopping and travel site operator Liberty Interactive.
0.9040259452709256		SimpleArgument(QVC,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(a subsidiary of travel site operator Liberty Interactive,List([7, 63)))	QVC is a subsidiary of shopping and travel site operator Liberty Interactive.
0.8847999636040884		SimpleArgument(QVC,List([0, 3)))	Relation(is a subsidiary of,List([4, 22)))	SimpleArgument(shopping operator Liberty Interactive,List([23, 60)))	QVC is a subsidiary of shopping and travel site operator Liberty Interactive.
0.9040259452709256		SimpleArgument(QVC,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(a subsidiary of shopping operator Liberty Interactive,List([7, 60)))	QVC is a subsidiary of shopping and travel site operator Liberty Interactive.
