0.8713075742434684	Context(Zilker Media to help,List([0, 32)))	SimpleArgument(clients,List([33, 40)))	Relation(make,List([41, 45)))	SimpleArgument(a positive impact,List([46, 63)))	Zilker Media was founded to help clients make a positive impact and, along the way, to provide them with the most enjoyable agency experience they will ever have.
0.8952588623679987		SimpleArgument(Zilker Media,List([0, 12)))	Relation(to help,List([25, 32)))	SimpleArgument(clients make a positive impact,List([33, 63)))	Zilker Media was founded to help clients make a positive impact and, along the way, to provide them with the most enjoyable agency experience they will ever have.
0.782847349284013		SimpleArgument(the most enjoyable agency experience,List([105, 141)))	Relation(will have,List([147, 151), [157, 161)))	TemporalArgument(ever,List([152, 156)))	Zilker Media was founded to help clients make a positive impact and, along the way, to provide them with the most enjoyable agency experience they will ever have.
0.8173640661027887		SimpleArgument(Zilker Media,List([0, 12)))	Relation(was founded to,List([13, 24), [84, 86)))	SimpleArgument(provide them with the most enjoyable agency experience,List([87, 141)))	Zilker Media was founded to help clients make a positive impact and, along the way, to provide them with the most enjoyable agency experience they will ever have.
0.9266232318014763		SimpleArgument(Zilker Media,List([0, 12)))	Relation(was founded to,List([13, 24), [25, 27)))	SimpleArgument(help clients make a positive impact,List([28, 63)))	Zilker Media was founded to help clients make a positive impact and, along the way, to provide them with the most enjoyable agency experience they will ever have.
0.7770021919271003	Context(We thought,List([0, 10)))	SimpleArgument(brands,List([11, 17)))	Relation(looking for,List([18, 25), [26, 29)))	SimpleArgument(an enjoyable agency experience,List([30, 60)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.39746064682094406		SimpleArgument(We,List([0, 2)))	Relation(thought,List([3, 10)))	SimpleArgument(brands looking for an enjoyable agency experience,List([11, 60)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.7770021919271003	Context(We thought,List([0, 10)))	SimpleArgument(brands,List([11, 17)))	Relation(looking for,List([18, 25), [26, 29)))	SimpleArgument(an innovative agency experience,List([30, 61)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.39746064682094406		SimpleArgument(We,List([0, 2)))	Relation(thought,List([3, 10)))	SimpleArgument(brands looking for an innovative agency experience,List([11, 61)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.7770021919271003	Context(We thought,List([0, 10)))	SimpleArgument(brands,List([11, 17)))	Relation(looking for,List([18, 25), [26, 29)))	SimpleArgument(an experienced agency experience,List([30, 62)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.39746064682094406		SimpleArgument(We,List([0, 2)))	Relation(thought,List([3, 10)))	SimpleArgument(brands looking for an experienced agency experience,List([11, 62)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.8713075742434684	Context(We thought,List([0, 10)))	SimpleArgument(leaders,List([11, 18)))	Relation(looking for,List([19, 26), [27, 30)))	SimpleArgument(an enjoyable agency experience,List([31, 61)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.39746064682094406		SimpleArgument(We,List([0, 2)))	Relation(thought,List([3, 10)))	SimpleArgument(leaders looking for an enjoyable agency experience,List([11, 61)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.8713075742434684	Context(We thought,List([0, 10)))	SimpleArgument(leaders,List([11, 18)))	Relation(looking for,List([19, 26), [27, 30)))	SimpleArgument(an innovative agency experience,List([31, 62)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.39746064682094406		SimpleArgument(We,List([0, 2)))	Relation(thought,List([3, 10)))	SimpleArgument(leaders looking for an innovative agency experience,List([11, 62)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.8713075742434684	Context(We thought,List([0, 10)))	SimpleArgument(leaders,List([11, 18)))	Relation(looking for,List([19, 26), [27, 30)))	SimpleArgument(an experienced agency experience,List([31, 63)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.39746064682094406		SimpleArgument(We,List([0, 2)))	Relation(thought,List([3, 10)))	SimpleArgument(leaders looking for an experienced agency experience,List([11, 63)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.8942434158739456		SimpleArgument(everything,List([86, 96)))	Relation(needed to,List([97, 103), [104, 106)))	SimpleArgument(succeed in the new media landscape under one roof,List([107, 156)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.5025135004100942		SimpleArgument(one,List([66, 69)))	Relation(integrates,List([75, 85)))	SimpleArgument(everything needed,List([86, 103)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(specialize in,List([3, 13), [14, 16)))	SimpleArgument(platform development,List([17, 37)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(specialize in,List([3, 13), [14, 16)))	SimpleArgument(digital marketing,List([17, 34)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(specialize in,List([3, 13), [14, 16)))	SimpleArgument(PR,List([17, 19)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.22015391053105568		SimpleArgument(we,List([3, 5)))	Relation(are utilized,List([6, 9), [16, 24)))	TemporalArgument(often,List([10, 15)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.30297744566198154		SimpleArgument(we,List([3, 5)))	Relation(are utilized,List([6, 9), [16, 24)))	TemporalArgument(We,List([0, 2)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.3497525988439521		SimpleArgument(we,List([3, 5)))	Relation(are utilized by,List([6, 9), [16, 24), [25, 27)))	SimpleArgument(authors , speakers,List([28, 46)))	We specialize in PR, digital marketing and platform development and we are often utilized by authors, speakers, thought leaders and brands looking for an experienced, innovative and enjoyable agency experience - one that integrates everything needed to succeed in the new media landscape under one roof.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(the agency of record for many others,List([7, 43)))	We are the agency of record for Captain Chesley "Sully" Sullenberger, Chicken Soup for the Soul and many others.
0.6138676038426771		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(the agency of record for Captain Chesley " Sully " Sullenberger , Chicken Soup for the Soul,List([7, 98)))	We are the agency of record for Captain Chesley "Sully" Sullenberger, Chicken Soup for the Soul and many others.
0.38089450366724514		SimpleArgument(Rusty Shelton,List([102, 115)))	Relation([is] CEO [of],List([98, 101)))	SimpleArgument(Zilker Media,List([85, 97)))	Zilker Media's roots are in an award-winning agency, Shelton Interactive, founded by Zilker Media CEO Rusty Shelton in Austin in 2010.
0.7077244629986255		SimpleArgument(an award-winning agency,List([28, 51)))	Relation(founded in,List([74, 81), [126, 128)))	TemporalArgument(2010,List([129, 133)))	Zilker Media's roots are in an award-winning agency, Shelton Interactive, founded by Zilker Media CEO Rusty Shelton in Austin in 2010.
0.9267899601589662		SimpleArgument(an award-winning agency,List([28, 51)))	Relation(founded by,List([74, 81), [82, 84)))	SimpleArgument(Zilker Media CEO Rusty Shelton,List([85, 115)))	Zilker Media's roots are in an award-winning agency, Shelton Interactive, founded by Zilker Media CEO Rusty Shelton in Austin in 2010.
0.9387281236502384		SimpleArgument(Zilker Media's roots,List([0, 20)))	Relation(are in,List([21, 24), [25, 27)))	SimpleArgument(an award-winning agency,List([28, 51)))	Zilker Media's roots are in an award-winning agency, Shelton Interactive, founded by Zilker Media CEO Rusty Shelton in Austin in 2010.
