0.8383054502364456		SimpleArgument(a boutique marketing agency,List([3, 30)))	Relation(to magnify,List([67, 77)))	SimpleArgument(their message,List([78, 91)))	As a boutique marketing agency, Goody PR partners with VIP Clients to magnify their message through VIP Packages for a monthly retainer.
0.6601056213946704		SimpleArgument(Our VIP Clients,List([0, 15)))	Relation(primarily include,List([16, 33)))	SimpleArgument(successful experts in lifestyle industries,List([34, 76)))	Our VIP Clients primarily include successful small businesses, authors, and experts in the health, finance, entrepreneur, technology, entertainment and lifestyle industries.
0.6601056213946704		SimpleArgument(Our VIP Clients,List([0, 15)))	Relation(primarily include,List([16, 33)))	SimpleArgument(successful experts in entertainment industries,List([34, 80)))	Our VIP Clients primarily include successful small businesses, authors, and experts in the health, finance, entrepreneur, technology, entertainment and lifestyle industries.
0.6601056213946704		SimpleArgument(Our VIP Clients,List([0, 15)))	Relation(primarily include,List([16, 33)))	SimpleArgument(successful experts in technology industries,List([34, 77)))	Our VIP Clients primarily include successful small businesses, authors, and experts in the health, finance, entrepreneur, technology, entertainment and lifestyle industries.
0.6601056213946704		SimpleArgument(Our VIP Clients,List([0, 15)))	Relation(primarily include,List([16, 33)))	SimpleArgument(successful experts in entrepreneur industries,List([34, 79)))	Our VIP Clients primarily include successful small businesses, authors, and experts in the health, finance, entrepreneur, technology, entertainment and lifestyle industries.
0.6601056213946704		SimpleArgument(Our VIP Clients,List([0, 15)))	Relation(primarily include,List([16, 33)))	SimpleArgument(successful experts in finance industries,List([34, 74)))	Our VIP Clients primarily include successful small businesses, authors, and experts in the health, finance, entrepreneur, technology, entertainment and lifestyle industries.
0.6601056213946704		SimpleArgument(Our VIP Clients,List([0, 15)))	Relation(primarily include,List([16, 33)))	SimpleArgument(successful experts in the health industries,List([34, 77)))	Our VIP Clients primarily include successful small businesses, authors, and experts in the health, finance, entrepreneur, technology, entertainment and lifestyle industries.
0.6601056213946704		SimpleArgument(Our VIP Clients,List([0, 15)))	Relation(primarily include,List([16, 33)))	SimpleArgument(successful authors,List([34, 52)))	Our VIP Clients primarily include successful small businesses, authors, and experts in the health, finance, entrepreneur, technology, entertainment and lifestyle industries.
0.6601056213946704		SimpleArgument(Our VIP Clients,List([0, 15)))	Relation(primarily include,List([16, 33)))	SimpleArgument(successful small businesses,List([34, 61)))	Our VIP Clients primarily include successful small businesses, authors, and experts in the health, finance, entrepreneur, technology, entertainment and lifestyle industries.
0.48903187625367955		SimpleArgument(Our specialty,List([0, 13)))	Relation(is developing,List([14, 27)))	SimpleArgument(a powerful story for your brand,List([28, 59)))	Our specialty is developing a powerful story for your brand that can continually evolve and break through the NOISE!
0.9313202850666147		SimpleArgument(Services,List([0, 8)))	Relation(may include,List([9, 20)))	SimpleArgument(brand story development , monthly press releases , long - term ongoing strategy , custom graphics , custom websites , social media marketing strategy , monthly reports,List([21, 188)))	Services may include brand story development, monthly press releases, long-term ongoing strategy, custom graphics, custom websites, social media marketing strategy, monthly reports to measure results - and/or one-time flat fee VIP Projects.
0.9382554258342916		SimpleArgument(•Brand Magnifier,List([0, 16)))	Relation(specializing in,List([17, 29), [30, 32)))	SimpleArgument(Compelling Storytelling,List([33, 56)))	•Brand Magnifier specializing in Clear, Concise and Compelling Storytelling.
0.9382554258342916		SimpleArgument(•Brand Magnifier,List([0, 16)))	Relation(specializing in,List([17, 29), [30, 32)))	SimpleArgument(Concise,List([33, 40)))	•Brand Magnifier specializing in Clear, Concise and Compelling Storytelling.
0.9382554258342916		SimpleArgument(•Brand Magnifier,List([0, 16)))	Relation(specializing in,List([17, 29), [30, 32)))	SimpleArgument(Clear,List([33, 38)))	•Brand Magnifier specializing in Clear, Concise and Compelling Storytelling.
0.9339862216393666		SimpleArgument(•Digital Marketing Leader,List([0, 25)))	Relation(managed $ 1million+ marketing campaigns at,List([30, 37), [38, 69), [70, 72)))	SpatialArgument(MySpace,List([73, 80)))	•Digital Marketing Leader who managed $1million+ marketing campaigns at MySpace for major VIP brands such as Toyota and University of Phoenix.
0.9216169339561846		SimpleArgument(•Digital Marketing Leader,List([0, 25)))	Relation(managed,List([30, 37)))	SimpleArgument($ 1million+ marketing campaigns,List([38, 69)))	•Digital Marketing Leader who managed $1million+ marketing campaigns at MySpace for major VIP brands such as Toyota and University of Phoenix.
