0.41763505952380825		SimpleArgument(I,List({189}))	Relation(can work,List([191, 199)))	SimpleArgument(most importantly I can work with a team in order,List([200, 248)))	Hello! my name is Julian and I have worked in the animation, concept art and motion graphics sector for multiple advertisement campaigns.Currently creating an amazing CG Animation demo reel to showcase my skills!I can work under pressure and find creative solutions, but most importantly I can work with a team in order to achieve quality in a creative production.Any questions? hit me up at  jartreuse@gmail.com
0.5503378535116643	Context(my name is,List([8, 18)))	SimpleArgument(I,List({19}))	Relation(have worked in,List([21, 32), [33, 35)))	SpatialArgument(the animation , motion graphics sector for multiple advertisement campaigns.Currently,List([36, 121)))	Hello! my name is Julian and I have worked in the animation, concept art and motion graphics sector for multiple advertisement campaigns.Currently creating an amazing CG Animation demo reel to showcase my skills!I can work under pressure and find creative solutions, but most importantly I can work with a team in order to achieve quality in a creative production.Any questions? hit me up at  jartreuse@gmail.com
0.6535386618810591		SimpleArgument(my name,List([8, 15)))	Relation(is,List([16, 18)))	SimpleArgument(I have worked in the animation , motion graphics sector for multiple advertisement campaigns.Currently,List([19, 121)))	Hello! my name is Julian and I have worked in the animation, concept art and motion graphics sector for multiple advertisement campaigns.Currently creating an amazing CG Animation demo reel to showcase my skills!I can work under pressure and find creative solutions, but most importantly I can work with a team in order to achieve quality in a creative production.Any questions? hit me up at  jartreuse@gmail.com
0.38878662287464777	Context(my name is,List([8, 18)))	SimpleArgument(I,List({19}))	Relation(have worked,List([21, 32)))	SimpleArgument(concept art for multiple advertisement campaigns.Currently,List([52, 110)))	Hello! my name is Julian and I have worked in the animation, concept art and motion graphics sector for multiple advertisement campaigns.Currently creating an amazing CG Animation demo reel to showcase my skills!I can work under pressure and find creative solutions, but most importantly I can work with a team in order to achieve quality in a creative production.Any questions? hit me up at  jartreuse@gmail.com
0.3813762836812193	Context(my name is,List([8, 18)))	SimpleArgument(I,List({19}))	Relation(have worked concept art for multiple advertisement campaigns.Currently in,List([21, 32), [33, 90), [91, 110)))	SpatialArgument(CG Animation,List([36, 49)))	Hello! my name is Julian and I have worked in the animation, concept art and motion graphics sector for multiple advertisement campaigns.Currently creating an amazing CG Animation demo reel to showcase my skills!I can work under pressure and find creative solutions, but most importantly I can work with a team in order to achieve quality in a creative production.Any questions? hit me up at  jartreuse@gmail.com
0.6535386618810591		SimpleArgument(my name,List([8, 15)))	Relation(is,List([16, 18)))	SimpleArgument(I have worked in the animation , concept art for multiple advertisement campaigns.Currently,List([19, 110)))	Hello! my name is Julian and I have worked in the animation, concept art and motion graphics sector for multiple advertisement campaigns.Currently creating an amazing CG Animation demo reel to showcase my skills!I can work under pressure and find creative solutions, but most importantly I can work with a team in order to achieve quality in a creative production.Any questions? hit me up at  jartreuse@gmail.com
0.944545017224107	Context(my name is,List([8, 18)))	SimpleArgument(Julian,List([19, 25)))	Relation(have worked in,List([26, 37), [38, 40)))	SpatialArgument(the animation , motion graphics sector for multiple advertisement campaigns.Currently,List([41, 126)))	Hello! my name is Julian and I have worked in the animation, concept art and motion graphics sector for multiple advertisement campaigns.Currently creating an amazing CG Animation demo reel to showcase my skills!I can work under pressure and find creative solutions, but most importantly I can work with a team in order to achieve quality in a creative production.Any questions? hit me up at  jartreuse@gmail.com
0.7765446091262779		SimpleArgument(my name,List([8, 15)))	Relation(is,List([16, 18)))	SimpleArgument(Julian have worked in the animation , motion graphics sector for multiple advertisement campaigns.Currently,List([19, 126)))	Hello! my name is Julian and I have worked in the animation, concept art and motion graphics sector for multiple advertisement campaigns.Currently creating an amazing CG Animation demo reel to showcase my skills!I can work under pressure and find creative solutions, but most importantly I can work with a team in order to achieve quality in a creative production.Any questions? hit me up at  jartreuse@gmail.com
0.45170382506656653		SimpleArgument(I,List({183}))	Relation(can find,List([185, 193)))	SimpleArgument(creative solutions,List([194, 212)))	Hello! my name is Julian and I have worked in the animation, concept art and motion graphics sector for multiple advertisement campaigns.Currently creating an amazing CG Animation demo reel to showcase my skills!I can work under pressure and find creative solutions, but most importantly I can work with a team in order to achieve quality in a creative production.Any questions? hit me up at  jartreuse@gmail.com
0.8982330273114404	Context(my name is,List([8, 18)))	SimpleArgument(Julian,List([19, 25)))	Relation(have worked in,List([26, 37), [38, 40)))	SpatialArgument(CG Animation,List([41, 54)))	Hello! my name is Julian and I have worked in the animation, concept art and motion graphics sector for multiple advertisement campaigns.Currently creating an amazing CG Animation demo reel to showcase my skills!I can work under pressure and find creative solutions, but most importantly I can work with a team in order to achieve quality in a creative production.Any questions? hit me up at  jartreuse@gmail.com
0.6842409873827543		SimpleArgument(my name,List([8, 15)))	Relation(is,List([16, 18)))	SimpleArgument(Julian have worked in the animation,List([19, 54)))	Hello! my name is Julian and I have worked in the animation, concept art and motion graphics sector for multiple advertisement campaigns.Currently creating an amazing CG Animation demo reel to showcase my skills!I can work under pressure and find creative solutions, but most importantly I can work with a team in order to achieve quality in a creative production.Any questions? hit me up at  jartreuse@gmail.com
