0.5222094630377523		SimpleArgument(We,List([2, 4)))	Relation('re,List([4, 7)))	SimpleArgument(custom jewelers, second to none,List([8, 39)))	- We're custom jewelers, second to none.
0.8308208352223743	Context(a piece of jewelry endeavoring,List([46, 76)))	SimpleArgument(a piece of jewelry,List([46, 64)))	Relation(endeavoring to exceed,List([65, 76), [77, 86)))	SimpleArgument(their every expectation,List([87, 110)))	We enjoy working with our clients to design (or re-design) a piece of jewelry endeavoring to exceed their every expectation.
0.8308208352223743		SimpleArgument(a piece of jewelry,List([46, 64)))	Relation(endeavoring to,List([65, 76), [77, 79)))	SimpleArgument(exceed their every expectation,List([80, 110)))	We enjoy working with our clients to design (or re-design) a piece of jewelry endeavoring to exceed their every expectation.
0.3236829778335394	Context(We enjoy,List([0, 8)))	SimpleArgument(We,List([0, 2)))	Relation(enjoy working,List([3, 8), [9, 16)))	SimpleArgument(a piece of jewelry endeavoring to exceed their every expectation,List([46, 110)))	We enjoy working with our clients to design (or re-design) a piece of jewelry endeavoring to exceed their every expectation.
0.25818422306528843	Context(We enjoy,List([0, 8)))	SimpleArgument(We,List([0, 2)))	Relation(enjoy working a piece of jewelry endeavoring to exceed their every expectation with,List([3, 8), [9, 16), [17, 98), [99, 110)))	SimpleArgument(our clients,List([22, 33)))	We enjoy working with our clients to design (or re-design) a piece of jewelry endeavoring to exceed their every expectation.
0.364761346574243		SimpleArgument(We,List([0, 2)))	Relation(enjoy,List([3, 8)))	SimpleArgument(working with our clients re-design ) a piece of jewelry,List([9, 64)))	We enjoy working with our clients to design (or re-design) a piece of jewelry endeavoring to exceed their every expectation.
0.1273814832686296		SimpleArgument(We,List([0, 2)))	Relation(enjoy working to,List([3, 16), [34, 36)))	SimpleArgument(design,List([37, 43)))	We enjoy working with our clients to design (or re-design) a piece of jewelry endeavoring to exceed their every expectation.
0.2507300406324104		SimpleArgument(We,List([0, 2)))	Relation(enjoy working to design with,List([3, 16), [17, 36), [37, 43)))	SimpleArgument(our clients,List([22, 33)))	We enjoy working with our clients to design (or re-design) a piece of jewelry endeavoring to exceed their every expectation.
0.9143456855143793		SimpleArgument(Knutson Jewelers -,List([24, 40)))	Relation(since opening the doors,List([64, 77), [78, 87)))	TemporalArgument(34 years ago,List([88, 100)))	From modest beginnings, Knutson Jewelers has evolved vigorously since opening the doors 34 years ago.
0.9143456855143793		SimpleArgument(Knutson Jewelers -,List([24, 40)))	Relation(since opening,List([64, 77)))	SimpleArgument(the doors,List([78, 87)))	From modest beginnings, Knutson Jewelers has evolved vigorously since opening the doors 34 years ago.
0.9488092838692999		SimpleArgument(Knutson Jewelers -,List([24, 40)))	Relation(has evolved vigorously From,List([0, 52), [53, 63)))	TemporalArgument(modest beginnings,List([5, 22)))	From modest beginnings, Knutson Jewelers has evolved vigorously since opening the doors 34 years ago.
