0.9550945378592375	Context(England held,List([63, 75)))	SimpleArgument(The Nottingham 'Robin Hood' Marathon,List([0, 36)))	Relation(is,List([38, 40)))	SimpleArgument(a race in Nottingham,List([41, 61)))	The Nottingham 'Robin Hood' Marathon, is a race in Nottingham, England held every year since 1981.
0.6701323756818142		SimpleArgument(England,List([63, 70)))	Relation(held since,List([71, 75), [87, 92)))	TemporalArgument(1981,List([93, 97)))	The Nottingham 'Robin Hood' Marathon, is a race in Nottingham, England held every year since 1981.
0.9213207774643418		SimpleArgument(England,List([63, 70)))	Relation(held,List([71, 75)))	TemporalArgument(every year,List([76, 86)))	The Nottingham 'Robin Hood' Marathon, is a race in Nottingham, England held every year since 1981.
0.9111779447320654		SimpleArgument(The race today,List([0, 14)))	Relation(incorporates,List([15, 27)))	SimpleArgument(a half - marathon,List([28, 45)))	The race today incorporates a half-marathon, and a fun-run, in addition to the full marathon.
0.9611367386920138	Context(A corporate relay event is also held,List([0, 36)))	SimpleArgument(teams of five runners from local businesses,List([46, 89)))	Relation(run,List([90, 93)))	SimpleArgument(legs of 2-3 miles on the half - marathon course,List([94, 141)))	A corporate relay event is also held in which teams of five runners from local companies and businesses run legs of 2–3 miles on the half-marathon course.
0.7187763761764225		SimpleArgument(A corporate relay event,List([0, 23)))	Relation(is also held,List([24, 36)))		A corporate relay event is also held in which teams of five runners from local companies and businesses run legs of 2–3 miles on the half-marathon course.
0.7508836390842847		SimpleArgument(The original race,List([0, 17)))	Relation(started,List([18, 25)))		The original race started and finished in the Old Market Square, in Nottingham City Centre.
0.9640827750857294		SimpleArgument(the Victoria Embankment,List([45, 68)))	Relation(taking in,List([69, 75), [76, 78)))	SpatialArgument(some of Nottingham 's most scenic sights , including the National Watersports Centre at Holme Pierrepont,List([79, 183)))	From 1982 onwards the race has started and finished from the Victoria Embankment taking in some of Nottingham's most historical and scenic sights, including the City Centre and Nottingham Castle, Wollaton Park, the University of Nottingham and the National Watersports Centre at Holme Pierrepont.
0.9640827750857294		SimpleArgument(the Victoria Embankment,List([45, 68)))	Relation(taking in,List([69, 75), [76, 78)))	SpatialArgument(some of Nottingham 's most scenic sights , including the University of Nottingham,List([79, 160)))	From 1982 onwards the race has started and finished from the Victoria Embankment taking in some of Nottingham's most historical and scenic sights, including the City Centre and Nottingham Castle, Wollaton Park, the University of Nottingham and the National Watersports Centre at Holme Pierrepont.
0.9640827750857294		SimpleArgument(the Victoria Embankment,List([45, 68)))	Relation(taking in,List([69, 75), [76, 78)))	SpatialArgument(some of Nottingham 's most scenic sights , including the Wollaton Park,List([79, 149)))	From 1982 onwards the race has started and finished from the Victoria Embankment taking in some of Nottingham's most historical and scenic sights, including the City Centre and Nottingham Castle, Wollaton Park, the University of Nottingham and the National Watersports Centre at Holme Pierrepont.
0.9640827750857294		SimpleArgument(the Victoria Embankment,List([45, 68)))	Relation(taking in,List([69, 75), [76, 78)))	SpatialArgument(some of Nottingham 's most scenic sights , including the Nottingham Castle,List([79, 153)))	From 1982 onwards the race has started and finished from the Victoria Embankment taking in some of Nottingham's most historical and scenic sights, including the City Centre and Nottingham Castle, Wollaton Park, the University of Nottingham and the National Watersports Centre at Holme Pierrepont.
