0.4978219019954182		SimpleArgument(I,List({63}))	Relation(will complete in,List([65, 78), [79, 81)))	TemporalArgument(June 2017,List([82, 91)))	I am currently studying a Master of Teaching (Secondary) which I will complete in June 2017.
0.22015391053105568		SimpleArgument(I,List({0}))	Relation(am studying a Master of Teaching,List([2, 4), [15, 23), [24, 44)))	TemporalArgument(currently,List([5, 14)))	I am currently studying a Master of Teaching (Secondary) which I will complete in June 2017.
0.3929209860966329		SimpleArgument(I,List({0}))	Relation(am studying,List([2, 4), [15, 23)))	SimpleArgument(a Master of Teaching,List([24, 44)))	I am currently studying a Master of Teaching (Secondary) which I will complete in June 2017.
0.3880890333449538	Context(I am looking forward,List([0, 20)))	SimpleArgument(I,List({0}))	Relation(am looking forward to teaching biology in,List([2, 20), [21, 32), [33, 40), [41, 43)))	TemporalArgument(the near future,List([44, 59)))	I am looking forward to teaching science and biology in the near future.
0.3880890333449538	Context(I am looking forward,List([0, 20)))	SimpleArgument(I,List({0}))	Relation(am looking forward to teaching,List([2, 20), [21, 32)))	SimpleArgument(biology,List([33, 40)))	I am looking forward to teaching science and biology in the near future.
0.3880890333449538		SimpleArgument(I,List({0}))	Relation(am looking forward to,List([2, 20), [21, 23)))	SimpleArgument(teaching biology in the near future,List([24, 59)))	I am looking forward to teaching science and biology in the near future.
0.3880890333449538	Context(I am looking forward,List([0, 20)))	SimpleArgument(I,List({0}))	Relation(am looking forward to teaching science in,List([2, 20), [21, 32), [33, 40), [41, 43)))	TemporalArgument(the near future,List([44, 59)))	I am looking forward to teaching science and biology in the near future.
0.3880890333449538	Context(I am looking forward,List([0, 20)))	SimpleArgument(I,List({0}))	Relation(am looking forward to teaching,List([2, 20), [21, 32)))	SimpleArgument(science,List([33, 40)))	I am looking forward to teaching science and biology in the near future.
0.3880890333449538		SimpleArgument(I,List({0}))	Relation(am looking forward to,List([2, 20), [21, 23)))	SimpleArgument(teaching science in the near future,List([24, 59)))	I am looking forward to teaching science and biology in the near future.
0.6381012045821894		SimpleArgument(My background,List([0, 13)))	Relation(is in,List([14, 16), [17, 19)))	SimpleArgument(marketing,List([20, 29)))	My background is in scientific sales and marketing,firstly at a medical consumables company where I set up many new accounts and afterwards as a territory manager for Grace Discovery Sciences selling chromatography equipment and consumables.
0.9329286852051247		SimpleArgument(Grace Discovery Sciences,List([155, 179)))	Relation(selling,List([180, 187)))	SimpleArgument(consumables,List([188, 199)))	My background is in scientific sales and marketing,firstly at a medical consumables company where I set up many new accounts and afterwards as a territory manager for Grace Discovery Sciences selling chromatography equipment and consumables.
0.9329286852051247		SimpleArgument(Grace Discovery Sciences,List([155, 179)))	Relation(selling,List([180, 187)))	SimpleArgument(chromatography equipment,List([188, 212)))	My background is in scientific sales and marketing,firstly at a medical consumables company where I set up many new accounts and afterwards as a territory manager for Grace Discovery Sciences selling chromatography equipment and consumables.
0.5508709715731925		SimpleArgument(I,List({86}))	Relation(set up many new accounts,List([88, 94), [95, 112)))	SpatialArgument(a medical consumables company,List([50, 79)))	My background is in scientific sales and marketing,firstly at a medical consumables company where I set up many new accounts and afterwards as a territory manager for Grace Discovery Sciences selling chromatography equipment and consumables.
0.45170382506656653		SimpleArgument(I,List({86}))	Relation(set up,List([88, 94)))	SimpleArgument(many new accounts,List([95, 112)))	My background is in scientific sales and marketing,firstly at a medical consumables company where I set up many new accounts and afterwards as a territory manager for Grace Discovery Sciences selling chromatography equipment and consumables.
0.6381012045821894		SimpleArgument(My background,List([0, 13)))	Relation(is in,List([14, 16), [17, 19)))	SimpleArgument(scientific sales,List([20, 36)))	My background is in scientific sales and marketing,firstly at a medical consumables company where I set up many new accounts and afterwards as a territory manager for Grace Discovery Sciences selling chromatography equipment and consumables.
0.9277724913494431		SimpleArgument(Silliker Australia,List([114, 132)))	Relation(consumables to,List([161, 172), [173, 175)))	SimpleArgument(secondary schools in Victoria,List([176, 205)))	After having time off after the birth of my third child,I moved into a part time marketing co-ordinator role at Silliker Australia,a food testing laboratory before commencing at O'Henry's and more recently at Haines Educational promoting scientific equipment and consumables to secondary schools in Victoria.
0.9266232318014763		SimpleArgument(Haines Educational,List([214, 232)))	Relation(promoting,List([233, 242)))	SimpleArgument(scientific equipment,List([243, 263)))	After having time off after the birth of my third child,I moved into a part time marketing co-ordinator role at Silliker Australia,a food testing laboratory before commencing at O'Henry's and more recently at Haines Educational promoting scientific equipment and consumables to secondary schools in Victoria.
0.512802362485398		SimpleArgument(I,List({58}))	Relation(moved into a part time marketing co-ordinator role at Silliker Australia After,List([0, 5), [60, 122), [123, 132)))	TemporalArgument(having time off after the birth of my third child,List([6, 55)))	After having time off after the birth of my third child,I moved into a part time marketing co-ordinator role at Silliker Australia,a food testing laboratory before commencing at O'Henry's and more recently at Haines Educational promoting scientific equipment and consumables to secondary schools in Victoria.
0.50931417287027		SimpleArgument(I,List({58}))	Relation(moved into a part time marketing co-ordinator role at Silliker Australia before,List([60, 65), [66, 132), [161, 167)))	TemporalArgument(commencing at O'Henry 's and more recently at Haines Educational promoting scientific equipment,List([168, 263)))	After having time off after the birth of my third child,I moved into a part time marketing co-ordinator role at Silliker Australia,a food testing laboratory before commencing at O'Henry's and more recently at Haines Educational promoting scientific equipment and consumables to secondary schools in Victoria.
0.4978219019954182		SimpleArgument(I,List({58}))	Relation(moved into,List([60, 65), [66, 70)))	SimpleArgument(a part time marketing co-ordinator role at Silliker Australia,List([71, 132)))	After having time off after the birth of my third child,I moved into a part time marketing co-ordinator role at Silliker Australia,a food testing laboratory before commencing at O'Henry's and more recently at Haines Educational promoting scientific equipment and consumables to secondary schools in Victoria.
0.5691839633287576		SimpleArgument(I,List({0}))	Relation(see myself as,List([2, 5), [6, 12), [13, 15)))	SimpleArgument(focused person with a passion for a great ability to multi - task,List([16, 81)))	I see myself as an organised,motivated and focused person with a passion for Science and a great ability to multi - task.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(see myself as,List([2, 5), [6, 12), [13, 15)))	SimpleArgument(focused person with a passion for Science,List([16, 57)))	I see myself as an organised,motivated and focused person with a passion for Science and a great ability to multi - task.
0.22506131975927415		SimpleArgument(I,List({0}))	Relation(see myself as,List([2, 5), [6, 12), [13, 15)))	TemporalArgument(motivated,List([16, 25)))	I see myself as an organised,motivated and focused person with a passion for Science and a great ability to multi - task.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(see myself as,List([2, 5), [6, 12), [13, 15)))	SimpleArgument(an organised,List([16, 28)))	I see myself as an organised,motivated and focused person with a passion for Science and a great ability to multi - task.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(see,List([2, 5)))	SimpleArgument(myself,List([6, 12)))	I see myself as an organised,motivated and focused person with a passion for Science and a great ability to multi - task.
0.39746064682094406	Context(I look forward,List([0, 14)))	SimpleArgument(I,List({0}))	Relation(look forward to teaching,List([2, 14), [15, 26)))	SimpleArgument(the next generation of Scientists,List([27, 60)))	I enjoy a challenge and I look forward to teaching the next generation of Scientists.
0.16235220060090308		SimpleArgument(I,List({0}))	Relation(look forward,List([2, 14)))		I enjoy a challenge and I look forward to teaching the next generation of Scientists.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(enjoy,List([2, 7)))	SimpleArgument(a challenge,List([8, 19)))	I enjoy a challenge and I look forward to teaching the next generation of Scientists.
0.8710592122254311		SimpleArgument(a big menswear specialist retailer,List([95, 129)))	Relation(set up by,List([130, 136), [137, 139)))	SimpleArgument(myself,List([140, 146)))	I also currently assist my husband in sales/marketing of our business O'Henry Big Menswear,a big menswear specialist retailer set up by my husband Chris and myself in 2010.
0.3853208301752743		SimpleArgument(Chris,List([151, 156)))	Relation([is] husband [of],List([143, 150)))	SimpleArgument(mine,List([140, 142)))	I also currently assist my husband in sales/marketing of our business O'Henry Big Menswear,a big menswear specialist retailer set up by my husband Chris and myself in 2010.
0.7412371133378648		SimpleArgument(a big menswear specialist retailer,List([95, 129)))	Relation(set up in,List([130, 136), [157, 159)))	TemporalArgument(2010,List([160, 164)))	I also currently assist my husband in sales/marketing of our business O'Henry Big Menswear,a big menswear specialist retailer set up by my husband Chris and myself in 2010.
0.8710592122254311		SimpleArgument(a big menswear specialist retailer,List([95, 129)))	Relation(set up by,List([130, 136), [137, 139)))	SimpleArgument(my husband,List([140, 150)))	I also currently assist my husband in sales/marketing of our business O'Henry Big Menswear,a big menswear specialist retailer set up by my husband Chris and myself in 2010.
0.22015391053105568		SimpleArgument(I,List({0}))	Relation(also assist my husband,List([2, 6), [17, 23), [24, 34)))	TemporalArgument(currently,List([7, 16)))	I also currently assist my husband in sales/marketing of our business O'Henry Big Menswear,a big menswear specialist retailer set up by my husband Chris and myself in 2010.
0.22598218974525264		SimpleArgument(I,List({0}))	Relation(also assist my husband in,List([2, 6), [17, 23), [24, 34), [35, 37)))	SimpleArgument(sales / marketing of our business,List([38, 71)))	I also currently assist my husband in sales/marketing of our business O'Henry Big Menswear,a big menswear specialist retailer set up by my husband Chris and myself in 2010.
0.22598218974525264		SimpleArgument(I,List({0}))	Relation(also assist,List([2, 6), [17, 23)))	SimpleArgument(my husband,List([24, 34)))	I also currently assist my husband in sales/marketing of our business O'Henry Big Menswear,a big menswear specialist retailer set up by my husband Chris and myself in 2010.
