0.8675936798977921		SimpleArgument(flat fee - No Court Divorce,List([44, 71)))	Relation(Established in,List([72, 83), [84, 86)))	TemporalArgument(2006,List([87, 91)))	Florida Cheap Divorce - Simple Divorce $280 flat fee - No Court Divorce Established in 2006.
0.424227524122513	Context(Yamil Fuentes made to help,List([105, 146)))	SimpleArgument(her clients,List([147, 158)))	Relation(take advantage of,List([159, 163), [164, 173), [174, 176)))	SimpleArgument(their access to the legal system,List([177, 209)))	After a few years working as an Independent Associate of Legal Shield, formerly known as Pre-Paid Legal, Yamil Fuentes made it her mission to help her clients take advantage of their access to the legal system.
0.575803381446508	Context(Yamil Fuentes made to help,List([105, 146)))	SimpleArgument(her clients,List([147, 158)))	Relation(take,List([159, 163)))	SimpleArgument(advantage,List([164, 173)))	After a few years working as an Independent Associate of Legal Shield, formerly known as Pre-Paid Legal, Yamil Fuentes made it her mission to help her clients take advantage of their access to the legal system.
0.8943226600983329	Context(Yamil Fuentes made,List([105, 123)))	SimpleArgument(Yamil Fuentes,List([105, 118)))	Relation(made it her mission to help,List([119, 123), [124, 130)))	SimpleArgument(her clients take advantage of their access to the legal system,List([147, 209)))	After a few years working as an Independent Associate of Legal Shield, formerly known as Pre-Paid Legal, Yamil Fuentes made it her mission to help her clients take advantage of their access to the legal system.
0.9345076521627679		SimpleArgument(Yamil Fuentes,List([105, 118)))	Relation(made it her mission After,List([0, 5), [119, 130), [131, 138)))	TemporalArgument(a few years,List([6, 17)))	After a few years working as an Independent Associate of Legal Shield, formerly known as Pre-Paid Legal, Yamil Fuentes made it her mission to help her clients take advantage of their access to the legal system.
0.8943226600983329		SimpleArgument(Yamil Fuentes,List([105, 118)))	Relation(made it her mission to,List([119, 123), [124, 138), [139, 141)))	SimpleArgument(help her clients take advantage of their access to the legal system,List([142, 209)))	After a few years working as an Independent Associate of Legal Shield, formerly known as Pre-Paid Legal, Yamil Fuentes made it her mission to help her clients take advantage of their access to the legal system.
0.8406891599730786		SimpleArgument(Yamil Fuentes,List([105, 118)))	Relation(made,List([119, 123)))	SimpleArgument(it her mission,List([124, 138)))	After a few years working as an Independent Associate of Legal Shield, formerly known as Pre-Paid Legal, Yamil Fuentes made it her mission to help her clients take advantage of their access to the legal system.
0.9082053713642309		SimpleArgument(an Independent Associate of Legal Shield,List([29, 69)))	Relation(known as Pre-Paid Legal,List([80, 85), [86, 103)))	TemporalArgument(formerly,List([71, 79)))	After a few years working as an Independent Associate of Legal Shield, formerly known as Pre-Paid Legal, Yamil Fuentes made it her mission to help her clients take advantage of their access to the legal system.
0.9497646913932042		SimpleArgument(an Independent Associate of Legal Shield,List([29, 69)))	Relation(known as,List([80, 85), [86, 88)))	SimpleArgument(Pre-Paid Legal,List([89, 103)))	After a few years working as an Independent Associate of Legal Shield, formerly known as Pre-Paid Legal, Yamil Fuentes made it her mission to help her clients take advantage of their access to the legal system.
0.9250606141558615		SimpleArgument(a few years,List([6, 17)))	Relation(working as,List([18, 25), [26, 28)))	SimpleArgument(an Independent Associate of Legal Shield,List([29, 69)))	After a few years working as an Independent Associate of Legal Shield, formerly known as Pre-Paid Legal, Yamil Fuentes made it her mission to help her clients take advantage of their access to the legal system.
0.3356692398220114		SimpleArgument(Yamil Fuentes,List([45, 48)))	Relation(realized there was a need of affordable divorce services in the State of Florida After,List([0, 5), [49, 121), [122, 129)))	TemporalArgument(going through her own personal divorce,List([6, 44)))	After going through her own personal divorce she realized there was a need of affordable divorce services in the State of Florida.
0.3991576880142734		SimpleArgument(Yamil Fuentes,List([45, 48)))	Relation(realized,List([49, 57)))	SimpleArgument(there was a need of affordable divorce services in the State of Florida,List([58, 129)))	After going through her own personal divorce she realized there was a need of affordable divorce services in the State of Florida.
0.9522877884251555		SimpleArgument(the different types of divorce,List([29, 59)))	Relation(been learned from,List([60, 72), [73, 77)))	SimpleArgument(the best in the industry of legal document preparation services,List([78, 141)))	When she founded Apex Legal Document Preparation Services she became a Premium Member of the FALDP (Florida Association of Legal Document Preparers) and educated herself on the different types of divorce been offered across the State of Florida and learned from the best in the industry of legal document preparation services.
0.9374058759955192		SimpleArgument(the different types of divorce,List([29, 59)))	Relation(been offered across,List([60, 72), [73, 79)))	SpatialArgument(the State of Florida,List([80, 100)))	When she founded Apex Legal Document Preparation Services she became a Premium Member of the FALDP (Florida Association of Legal Document Preparers) and educated herself on the different types of divorce been offered across the State of Florida and learned from the best in the industry of legal document preparation services.
0.45170382506656653		SimpleArgument(Yamil Fuentes,List([5, 8)))	Relation(educated herself on,List([9, 17), [18, 25), [26, 28)))	SimpleArgument(the different types of divorce,List([29, 59)))	When she founded Apex Legal Document Preparation Services she became a Premium Member of the FALDP (Florida Association of Legal Document Preparers) and educated herself on the different types of divorce been offered across the State of Florida and learned from the best in the industry of legal document preparation services.
0.30899953469486874		SimpleArgument(Yamil Fuentes,List([5, 8)))	Relation(educated,List([9, 17)))	SimpleArgument(Yamil Fuentes,List([18, 25)))	When she founded Apex Legal Document Preparation Services she became a Premium Member of the FALDP (Florida Association of Legal Document Preparers) and educated herself on the different types of divorce been offered across the State of Florida and learned from the best in the industry of legal document preparation services.
0.5152303510323188		SimpleArgument(Yamil Fuentes,List([58, 61)))	Relation(became a Premium Member of the FALDP,List([62, 68), [69, 98)))	TemporalArgument(When she founded Apex Legal Document Preparation Services,List([0, 57)))	When she founded Apex Legal Document Preparation Services she became a Premium Member of the FALDP (Florida Association of Legal Document Preparers) and educated herself on the different types of divorce been offered across the State of Florida and learned from the best in the industry of legal document preparation services.
0.4978219019954182		SimpleArgument(Yamil Fuentes,List([58, 61)))	Relation(became,List([62, 68)))	SimpleArgument(a Premium Member of the FALDP,List([69, 98)))	When she founded Apex Legal Document Preparation Services she became a Premium Member of the FALDP (Florida Association of Legal Document Preparers) and educated herself on the different types of divorce been offered across the State of Florida and learned from the best in the industry of legal document preparation services.
