0.928319312100383		SimpleArgument(a Human Resource Leader,List([5, 28)))	Relation(partners with,List([33, 41), [42, 46)))	SimpleArgument(business leaders as a trusted advisor,List([47, 84)))	I am a Human Resource Leader who partners with business leaders as a trusted advisor.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(a Human Resource Leader,List([5, 28)))	I am a Human Resource Leader who partners with business leaders as a trusted advisor.
0.6381012045821894		SimpleArgument(My career,List([0, 9)))	Relation(is built on,List([10, 18), [19, 21)))	SpatialArgument(a demonstrated specialization in labor relations,List([22, 70)))	My career is built on a progressive generalist background in talent management and a demonstrated specialization in compensation, incentive systems, employee and labor relations.
0.6381012045821894		SimpleArgument(My career,List([0, 9)))	Relation(is built on,List([10, 18), [19, 21)))	SpatialArgument(a demonstrated specialization in employee,List([22, 63)))	My career is built on a progressive generalist background in talent management and a demonstrated specialization in compensation, incentive systems, employee and labor relations.
0.6381012045821894		SimpleArgument(My career,List([0, 9)))	Relation(is built on,List([10, 18), [19, 21)))	SpatialArgument(a demonstrated specialization in incentive systems,List([22, 72)))	My career is built on a progressive generalist background in talent management and a demonstrated specialization in compensation, incentive systems, employee and labor relations.
0.6381012045821894		SimpleArgument(My career,List([0, 9)))	Relation(is built on,List([10, 18), [19, 21)))	SpatialArgument(a demonstrated specialization in compensation,List([22, 67)))	My career is built on a progressive generalist background in talent management and a demonstrated specialization in compensation, incentive systems, employee and labor relations.
0.6381012045821894		SimpleArgument(My career,List([0, 9)))	Relation(is built on,List([10, 18), [19, 21)))	SpatialArgument(a progressive generalist background in talent management,List([22, 78)))	My career is built on a progressive generalist background in talent management and a demonstrated specialization in compensation, incentive systems, employee and labor relations.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have navigated,List([2, 16)))	SimpleArgument(a variety of industries including insurance,List([17, 60)))	I have navigated a variety of industries including technology, wholesale/retail food and insurance.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have navigated,List([2, 16)))	SimpleArgument(a variety of industries including wholesale / retail food,List([17, 74)))	I have navigated a variety of industries including technology, wholesale/retail food and insurance.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have navigated,List([2, 16)))	SimpleArgument(a variety of industries including technology,List([17, 61)))	I have navigated a variety of industries including technology, wholesale/retail food and insurance.
0.39129245126286094	Context(A hallmark of my experience has been working,List([0, 44)))	SimpleArgument(A hallmark of my experience,List([0, 27)))	Relation(has been working bringing,List([28, 44), [111, 119)))	SimpleArgument(my ability to integrate cultures,List([120, 152)))	A hallmark of my experience has been working within businesses at times of significant organizational change, bringing my ability to integrate processes, talent and cultures.
