0.4649296389869295		SimpleArgument(you,List([6, 9)))	Relation(for visiting,List([10, 22)))	SimpleArgument(my site,List([23, 30)))	Thank you for visiting my site.
0.5222094630377523		SimpleArgument(I,List({0}))	Relation('m,List([1, 3)))	SimpleArgument(a fully licensed, professional tourist guide since 2006,List([4, 59)))	I'm a fully licensed, professional tourist guide since 2006.
0.9111779447320654		SimpleArgument(a special licence,List([20, 37)))	Relation(issued by,List([38, 44), [45, 47)))	SimpleArgument(local authorities,List([48, 65)))	In Europe, you need a special licence issued by local authorities to work as a tourist guide.
0.7387122272275324		SimpleArgument(you,List([11, 14)))	Relation(need a special licence issued by local authorities In,List([0, 2), [15, 53), [54, 65)))	SpatialArgument(Europe,List([3, 9)))	In Europe, you need a special licence issued by local authorities to work as a tourist guide.
0.6155020116081594		SimpleArgument(you,List([11, 14)))	Relation(need,List([15, 19)))	SimpleArgument(a special licence issued by local authorities,List([20, 65)))	In Europe, you need a special licence issued by local authorities to work as a tourist guide.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(obtained a Diploma in Marketing from,List([2, 10), [11, 33), [34, 38)))	SimpleArgument(the London Chamber of Commerce Institute in London,List([39, 89)))	I have studied at the Institute of Tourism Studies in Malta, and obtained a Diploma in Marketing from the London Chamber of Commerce Institute in London.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(obtained,List([2, 10)))	SimpleArgument(a Diploma in Marketing,List([11, 33)))	I have studied at the Institute of Tourism Studies in Malta, and obtained a Diploma in Marketing from the London Chamber of Commerce Institute in London.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(have studied at,List([2, 14), [15, 17)))	SpatialArgument(the Institute of Tourism Studies in Malta,List([18, 59)))	I have studied at the Institute of Tourism Studies in Malta, and obtained a Diploma in Marketing from the London Chamber of Commerce Institute in London.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(am also,List([2, 9)))	SimpleArgument(sub-committee officer of the Malta Union of Tourist Guides,List([10, 68)))	I am also a member and sub-committee officer of the Malta Union of Tourist Guides.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(am also,List([2, 9)))	SimpleArgument(a member,List([10, 18)))	I am also a member and sub-committee officer of the Malta Union of Tourist Guides.
0.3557055808979406	Context(I participate The Maltese Natural Heritage ' course organised,List([18, 182)))	SimpleArgument(I,List({18}))	Relation(participate in various events to ensure,List([20, 31), [32, 42)))	SimpleArgument(a continuous professional development in my field , like , for example,List([60, 130)))	During the year, I participate in various seminars and events to ensure a continuous professional development in my field, like, for example, ‘The Maltese Natural Heritage' course organised by Nature Trust (Malta), which was held at the University of Malta in February 2010.
0.4820971422465561	Context(The Maltese Natural Heritage ' course organised,List([135, 182)))	SimpleArgument(I,List({18}))	Relation(participate in various events During,List([0, 6), [20, 42), [43, 49)))	TemporalArgument(the year,List([7, 15)))	During the year, I participate in various seminars and events to ensure a continuous professional development in my field, like, for example, ‘The Maltese Natural Heritage' course organised by Nature Trust (Malta), which was held at the University of Malta in February 2010.
0.3880890333449538	Context(The Maltese Natural Heritage ' course organised,List([135, 182)))	SimpleArgument(I,List({18}))	Relation(participate in,List([20, 31), [32, 34)))	SimpleArgument(various events,List([35, 49)))	During the year, I participate in various seminars and events to ensure a continuous professional development in my field, like, for example, ‘The Maltese Natural Heritage' course organised by Nature Trust (Malta), which was held at the University of Malta in February 2010.
0.38089450366724514		SimpleArgument(Heritage,List([157, 165)))	Relation([is] Natural [from],List([149, 156)))	SimpleArgument(Malta,List([141, 148)))	During the year, I participate in various seminars and events to ensure a continuous professional development in my field, like, for example, ‘The Maltese Natural Heritage' course organised by Nature Trust (Malta), which was held at the University of Malta in February 2010.
0.3557055808979406	Context(I participate The Maltese Natural Heritage ' course organised,List([18, 184)))	SimpleArgument(I,List({18}))	Relation(participate in various seminars to ensure,List([20, 31), [32, 42)))	SimpleArgument(a continuous professional development in my field , like , for example,List([62, 132)))	During the year, I participate in various seminars and events to ensure a continuous professional development in my field, like, for example, ‘The Maltese Natural Heritage' course organised by Nature Trust (Malta), which was held at the University of Malta in February 2010.
0.4820971422465561	Context(The Maltese Natural Heritage ' course organised,List([137, 184)))	SimpleArgument(I,List({18}))	Relation(participate in various seminars During,List([0, 6), [20, 42), [43, 51)))	TemporalArgument(the year,List([7, 15)))	During the year, I participate in various seminars and events to ensure a continuous professional development in my field, like, for example, ‘The Maltese Natural Heritage' course organised by Nature Trust (Malta), which was held at the University of Malta in February 2010.
0.3880890333449538	Context(The Maltese Natural Heritage ' course organised,List([137, 184)))	SimpleArgument(I,List({18}))	Relation(participate in,List([20, 31), [32, 34)))	SimpleArgument(various seminars,List([35, 51)))	During the year, I participate in various seminars and events to ensure a continuous professional development in my field, like, for example, ‘The Maltese Natural Heritage' course organised by Nature Trust (Malta), which was held at the University of Malta in February 2010.
0.9451106961725476		SimpleArgument(The Maltese Natural Heritage ' course,List([137, 174)))	Relation(organised by,List([175, 184), [185, 187)))	SimpleArgument(Nature Trust,List([188, 200)))	During the year, I participate in various seminars and events to ensure a continuous professional development in my field, like, for example, ‘The Maltese Natural Heritage' course organised by Nature Trust (Malta), which was held at the University of Malta in February 2010.
0.8934644291176528		SimpleArgument(Nature Trust,List([188, 200)))	Relation(was held in,List([219, 227), [255, 257)))	TemporalArgument(February 2010,List([258, 271)))	During the year, I participate in various seminars and events to ensure a continuous professional development in my field, like, for example, ‘The Maltese Natural Heritage' course organised by Nature Trust (Malta), which was held at the University of Malta in February 2010.
0.9277724913494431		SimpleArgument(Nature Trust,List([188, 200)))	Relation(was held at,List([219, 227), [228, 230)))	SpatialArgument(the University of Malta,List([231, 254)))	During the year, I participate in various seminars and events to ensure a continuous professional development in my field, like, for example, ‘The Maltese Natural Heritage' course organised by Nature Trust (Malta), which was held at the University of Malta in February 2010.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(can understand,List([2, 16)))	SimpleArgument(some German,List([17, 28)))	I speak fluent Maltese, English and Italian, conversant in Spanish, and can understand some French and German.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(can understand,List([2, 16)))	SimpleArgument(some French,List([17, 28)))	I speak fluent Maltese, English and Italian, conversant in Spanish, and can understand some French and German.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(speak,List([2, 7)))	SimpleArgument(fluent Italian,List([8, 22)))	I speak fluent Maltese, English and Italian, conversant in Spanish, and can understand some French and German.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(speak,List([2, 7)))	SimpleArgument(fluent English,List([8, 22)))	I speak fluent Maltese, English and Italian, conversant in Spanish, and can understand some French and German.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(speak,List([2, 7)))	SimpleArgument(fluent Maltese,List([8, 22)))	I speak fluent Maltese, English and Italian, conversant in Spanish, and can understand some French and German.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have,List([2, 6)))	SimpleArgument(a passion for the performing arts,List([7, 40)))	I have a passion for history, photography and the performing arts, and I collect Melitensia (Maltese History Books).
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have,List([2, 6)))	SimpleArgument(a passion for photography,List([7, 32)))	I have a passion for history, photography and the performing arts, and I collect Melitensia (Maltese History Books).
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have,List([2, 6)))	SimpleArgument(a passion for history,List([7, 28)))	I have a passion for history, photography and the performing arts, and I collect Melitensia (Maltese History Books).
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(collect,List([2, 9)))	SimpleArgument(Melitensia,List([10, 20)))	I have a passion for history, photography and the performing arts, and I collect Melitensia (Maltese History Books).
0.2560951955542683	Context(I enjoy,List([18, 25)))	SimpleArgument(I,List({18}))	Relation(enjoy relaxing,List([20, 25), [26, 34)))	SimpleArgument(activities such as walks with our two dogs,List([35, 77)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
0.3356692398220114		SimpleArgument(I,List({18}))	Relation(enjoy relaxing activities such as walks with our two dogs In,List([0, 2), [20, 72), [73, 77)))	TemporalArgument(my free time,List([3, 15)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
0.2560951955542683		SimpleArgument(I,List({18}))	Relation(enjoy,List([20, 25)))	SimpleArgument(relaxing activities such as walks with our two dogs,List([26, 77)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
0.3880890333449538	Context(I enjoy,List([18, 25)))	SimpleArgument(I,List({18}))	Relation(enjoy relaxing,List([20, 25), [26, 34)))	SimpleArgument(activities such as treasure hunts,List([35, 68)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
0.3356692398220114		SimpleArgument(I,List({18}))	Relation(enjoy relaxing activities such as treasure hunts In,List([0, 2), [20, 62), [63, 68)))	TemporalArgument(my free time,List([3, 15)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
0.3880890333449538		SimpleArgument(I,List({18}))	Relation(enjoy,List([20, 25)))	SimpleArgument(relaxing activities such as treasure hunts,List([26, 68)))	In my free time, I enjoy relaxing activities such as picnics, camping, treasure hunts and walks with our two dogs.
