0.6582659227599074		SimpleArgument(You,List([0, 3)))	Relation('ve found,List([3, 12)))	SimpleArgument(Jon Holloway,List([13, 25)))	You've found Jon Holloway from Branson Missouri.
0.6582659227599074		SimpleArgument(my parents,List([98, 102)))	Relation(purchased,List([103, 112)))	SimpleArgument(Stormy Point Campground & Resort,List([113, 145)))	I've lived here most of my life, moved here from San Jose California in 1983 with my parents when they purchased Stormy Point Campground & Resort.
0.27151678565896326		SimpleArgument(I,List({0}))	Relation('ve lived,List([1, 10)))	TemporalArgument(most of my life,List([16, 31)))	I've lived here most of my life, moved here from San Jose California in 1983 with my parents when they purchased Stormy Point Campground & Resort.
0.22506131975927415		SimpleArgument(I,List({0}))	Relation('ve lived,List([1, 10)))	SpatialArgument(here,List([11, 15)))	I've lived here most of my life, moved here from San Jose California in 1983 with my parents when they purchased Stormy Point Campground & Resort.
0.8022022630383144		SimpleArgument(the great folks,List([101, 116)))	Relation(work,List([121, 125)))	SpatialArgument(here,List([126, 130)))	I've worked for some of the best entertainment and hospitality companies in the area and now I am happy to be in the Real Estate Industry listing and selling real estate all over the Tri-Lakes area for the great folks who live and work here.
0.9387281236502384		SimpleArgument(the Real Estate Industry,List([24, 48)))	Relation(selling real estate,List([49, 56), [57, 68)))	SpatialArgument(all over the Tri-Lakes area for the great folks,List([69, 116)))	I've worked for some of the best entertainment and hospitality companies in the area and now I am happy to be in the Real Estate Industry listing and selling real estate all over the Tri-Lakes area for the great folks who live and work here.
0.9387281236502384		SimpleArgument(the Real Estate Industry,List([24, 48)))	Relation(selling,List([49, 56)))	SimpleArgument(real estate,List([57, 68)))	I've worked for some of the best entertainment and hospitality companies in the area and now I am happy to be in the Real Estate Industry listing and selling real estate all over the Tri-Lakes area for the great folks who live and work here.
0.45592395356914683		SimpleArgument(I,List({4}))	Relation(to be in,List([15, 20), [21, 23)))	SimpleArgument(the Real Estate Industry,List([24, 48)))	I've worked for some of the best entertainment and hospitality companies in the area and now I am happy to be in the Real Estate Industry listing and selling real estate all over the Tri-Lakes area for the great folks who live and work here.
0.3018651855507195		SimpleArgument(I,List({4}))	Relation(am happy to be in the Real Estate Industry,List([6, 8), [9, 48)))	TemporalArgument(now,List([0, 3)))	I've worked for some of the best entertainment and hospitality companies in the area and now I am happy to be in the Real Estate Industry listing and selling real estate all over the Tri-Lakes area for the great folks who live and work here.
0.5680679595514976		SimpleArgument(I,List({4}))	Relation(am,List([6, 8)))	SimpleArgument(happy to be in the Real Estate Industry,List([9, 48)))	I've worked for some of the best entertainment and hospitality companies in the area and now I am happy to be in the Real Estate Industry listing and selling real estate all over the Tri-Lakes area for the great folks who live and work here.
0.45592395356914683		SimpleArgument(I,List({4}))	Relation(to be in,List([15, 20), [21, 23)))	SimpleArgument(the Real Estate Industry listing,List([24, 56)))	I've worked for some of the best entertainment and hospitality companies in the area and now I am happy to be in the Real Estate Industry listing and selling real estate all over the Tri-Lakes area for the great folks who live and work here.
0.3018651855507195		SimpleArgument(I,List({4}))	Relation(am happy to be in the Real Estate Industry listing,List([6, 8), [9, 56)))	TemporalArgument(now,List([0, 3)))	I've worked for some of the best entertainment and hospitality companies in the area and now I am happy to be in the Real Estate Industry listing and selling real estate all over the Tri-Lakes area for the great folks who live and work here.
0.5680679595514976		SimpleArgument(I,List({4}))	Relation(am,List([6, 8)))	SimpleArgument(happy to be in the Real Estate Industry listing,List([9, 56)))	I've worked for some of the best entertainment and hospitality companies in the area and now I am happy to be in the Real Estate Industry listing and selling real estate all over the Tri-Lakes area for the great folks who live and work here.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation('ve worked for,List([2, 12), [13, 16)))	SimpleArgument(some of the best hospitality companies in the area,List([17, 67)))	I've worked for some of the best entertainment and hospitality companies in the area and now I am happy to be in the Real Estate Industry listing and selling real estate all over the Tri-Lakes area for the great folks who live and work here.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation('ve worked for,List([2, 12), [13, 16)))	SimpleArgument(some of the best entertainment companies in the area,List([17, 69)))	I've worked for some of the best entertainment and hospitality companies in the area and now I am happy to be in the Real Estate Industry listing and selling real estate all over the Tri-Lakes area for the great folks who live and work here.
0.6582659227599074		SimpleArgument(you,List([3, 6)))	Relation(are thinking of,List([7, 19), [20, 22)))	SimpleArgument(selling real estate in the Branson Tri-Lakes area,List([23, 72)))	If you are thinking of buying or selling real estate in the Branson Tri-Lakes area please don't hesitate to contact me!
0.3112266983606483		SimpleArgument(you,List([3, 6)))	Relation(are thinking of,List([7, 19), [20, 22)))	SimpleArgument(buying,List([23, 29)))	If you are thinking of buying or selling real estate in the Branson Tri-Lakes area please don't hesitate to contact me!
