0.9387281236502384		SimpleArgument(Adam Fulford's goal,List([0, 19)))	Relation(is to,List([20, 22), [23, 25)))	SimpleArgument(share the best Japanese values with the world,List([26, 71)))	Adam Fulford's goal is to share the best Japanese values with the world.
0.9186941924198344		SimpleArgument(the best Japanese values,List([37, 61)))	Relation(are actually,List([62, 74)))	SimpleArgument(universal values,List([75, 91)))	This derives from a firm belief that the best Japanese values are actually universal values.
0.26484023942877905		SimpleArgument(This,List([0, 4)))	Relation(derives from,List([5, 12), [13, 17)))	SimpleArgument(a firm belief that the best Japanese values are actually universal values,List([18, 91)))	This derives from a firm belief that the best Japanese values are actually universal values.
0.8583748249202758	Context(people everywhere wish,List([30, 56)))	SimpleArgument(people everywhere,List([30, 47)))	Relation(wish to contribute to,List([52, 56), [57, 70), [71, 73)))	SimpleArgument(a better world,List([74, 88)))	These values can be shared by people everywhere who wish to contribute to a better world.
0.8583748249202758		SimpleArgument(people everywhere,List([30, 47)))	Relation(wish to,List([52, 56), [57, 59)))	SimpleArgument(contribute to a better world,List([60, 88)))	These values can be shared by people everywhere who wish to contribute to a better world.
0.9030401971054747		SimpleArgument(the best Japanese values,List([0, 12)))	Relation(can be shared by,List([13, 26), [27, 29)))	SimpleArgument(people everywhere,List([30, 47)))	These values can be shared by people everywhere who wish to contribute to a better world.
0.9536031299416609		SimpleArgument(Japan's best value of all,List([0, 25)))	Relation(is,List([26, 28)))	SimpleArgument(a mind for the other,List([30, 50)))	"Japan's best value of all is ""a mind for the other."""
0.8161075568799092		SimpleArgument(mindfulness,List([8, 19)))	Relation(is coming,List([20, 29)))	TemporalArgument(now,List([4, 7)))	And now mindfulness is coming home.
0.7487987465728897		SimpleArgument(mindfulness,List([8, 19)))	Relation(is coming,List([20, 29)))	SimpleArgument(home,List([30, 34)))	And now mindfulness is coming home.
0.7251886467849957		SimpleArgument(Adam,List([0, 4)))	Relation(set up Fulford Enterprises in,List([5, 11), [12, 31), [39, 41)))	TemporalArgument(1985,List([42, 46)))	Adam moved to Japan in 1981 and set up Fulford Enterprises (FE) in 1985.
0.9324144673478683		SimpleArgument(Adam,List([0, 4)))	Relation(set up,List([5, 11)))	SimpleArgument(Fulford Enterprises,List([12, 31)))	Adam moved to Japan in 1981 and set up Fulford Enterprises (FE) in 1985.
0.8016573080327372		SimpleArgument(Adam,List([0, 4)))	Relation(moved to Japan in,List([5, 10), [11, 19), [20, 22)))	TemporalArgument(1981,List([23, 27)))	Adam moved to Japan in 1981 and set up Fulford Enterprises (FE) in 1985.
0.9324144673478683		SimpleArgument(Adam,List([0, 4)))	Relation(moved to,List([5, 10), [11, 13)))	SimpleArgument(Japan,List([14, 19)))	Adam moved to Japan in 1981 and set up Fulford Enterprises (FE) in 1985.
0.9436221120476838		SimpleArgument(Japan Broadcasting companies,List([37, 65)))	Relation(closely associated with,List([66, 84), [85, 89)))	SimpleArgument(NHK,List([90, 93)))	Most of FE's business is with NHK (Japan Broadcasting Corporation) and companies closely associated with NHK.
0.9530647582435334		SimpleArgument(Most of FE 's business,List([0, 22)))	Relation(is with,List([23, 25), [26, 30)))	SimpleArgument(NHK,List([31, 34)))	Most of FE's business is with NHK (Japan Broadcasting Corporation) and companies closely associated with NHK.
0.8550806581371961		SimpleArgument(FE,List([0, 2)))	Relation(makes,List([3, 8)))	SimpleArgument(English versions of Japanese television shows,List([9, 54)))	FE makes English versions of Japanese television shows.
0.9064683704715875		SimpleArgument(Adam,List([0, 4)))	Relation(works for NHK as,List([13, 18), [19, 26), [27, 29)))	SimpleArgument(a language consultant,List([30, 51)))	Adam himself works for NHK as a language consultant.
0.9210233335200773		SimpleArgument(Adam,List([0, 4)))	Relation(works for,List([13, 18), [19, 22)))	SimpleArgument(NHK,List([23, 26)))	Adam himself works for NHK as a language consultant.
0.8550806581371961		SimpleArgument(FE,List([0, 2)))	Relation(has provided,List([3, 15)))	SimpleArgument(a broad range of companies in the private sector,List([16, 64)))	FE has provided language services for various Japanese administrative bodies (central and local) and a broad range of companies in the private sector.
0.6753309180785847		SimpleArgument(FE,List([0, 2)))	Relation(has provided,List([3, 15)))	SimpleArgument(local,List([16, 21)))	FE has provided language services for various Japanese administrative bodies (central and local) and a broad range of companies in the private sector.
0.6753309180785847		SimpleArgument(FE,List([0, 2)))	Relation(has provided,List([3, 15)))	SimpleArgument(central,List([16, 23)))	FE has provided language services for various Japanese administrative bodies (central and local) and a broad range of companies in the private sector.
0.8550806581371961		SimpleArgument(FE,List([0, 2)))	Relation(has provided,List([3, 15)))	SimpleArgument(language,List([16, 24)))	FE has provided language services for various Japanese administrative bodies (central and local) and a broad range of companies in the private sector.
0.8550806581371961		SimpleArgument(FE,List([0, 2)))	Relation(have been involved in,List([3, 21), [22, 24)))	SimpleArgument(diverse efforts,List([25, 40)))	Adam and FE have been involved in diverse efforts to promote Japan as a tourist destination.
0.9197759696552441		SimpleArgument(Adam,List([0, 4)))	Relation(have been involved in,List([5, 23), [24, 26)))	SimpleArgument(diverse efforts,List([27, 42)))	Adam and FE have been involved in diverse efforts to promote Japan as a tourist destination.
0.8872966301155124		SimpleArgument(the role,List([12, 20)))	Relation(can play in,List([57, 65), [66, 68)))	SpatialArgument(addressing such challenges,List([69, 95)))	For several years Adam has been learning about the challenges facing disabled people, and considering the role that principles of Universal Design can play in addressing such challenges.
0.9030401971054747		SimpleArgument(the challenges,List([47, 61)))	Relation(facing,List([62, 68)))	SimpleArgument(disabled people,List([69, 84)))	For several years Adam has been learning about the challenges facing disabled people, and considering the role that principles of Universal Design can play in addressing such challenges.
0.9439070193972718		SimpleArgument(Adam,List([18, 22)))	Relation(has been learning about the challenges For,List([0, 31), [32, 50), [51, 61)))	TemporalArgument(several years,List([4, 17)))	For several years Adam has been learning about the challenges facing disabled people, and considering the role that principles of Universal Design can play in addressing such challenges.
0.9197759696552441		SimpleArgument(Adam,List([18, 22)))	Relation(has been learning about,List([23, 40), [41, 46)))	SimpleArgument(the challenges,List([47, 61)))	For several years Adam has been learning about the challenges facing disabled people, and considering the role that principles of Universal Design can play in addressing such challenges.
0.8550806581371961		SimpleArgument(FE,List([0, 2)))	Relation(is plugged into,List([3, 13), [14, 18)))	SimpleArgument(a broad network of talented people around the world,List([19, 70)))	FE is plugged into a broad network of talented people in Japan and around the world.
0.876543225140763		SimpleArgument(FE,List([0, 2)))	Relation(is plugged into,List([3, 13), [14, 18)))	SimpleArgument(a broad network of talented people in Japan,List([19, 62)))	FE is plugged into a broad network of talented people in Japan and around the world.
0.8982330273114404	Context(Adam needs,List([0, 10)))	SimpleArgument(Adam,List([0, 4)))	Relation(needs your help to make,List([5, 10), [11, 20)))	SimpleArgument(the best ones real,List([29, 47)))	Adam needs your help to sort the wheat from the chaff and to make the best ones real.
0.8982330273114404		SimpleArgument(Adam,List([0, 4)))	Relation(needs your help to,List([5, 10), [11, 20), [21, 23)))	SimpleArgument(make the best ones real,List([24, 47)))	Adam needs your help to sort the wheat from the chaff and to make the best ones real.
0.8982330273114404	Context(Adam needs,List([0, 10)))	SimpleArgument(Adam,List([0, 4)))	Relation(needs your help to sort the wheat from,List([5, 10), [11, 20), [21, 28), [29, 32)))	SimpleArgument(the chaff,List([44, 53)))	Adam needs your help to sort the wheat from the chaff and to make the best ones real.
0.8982330273114404	Context(Adam needs,List([0, 10)))	SimpleArgument(Adam,List([0, 4)))	Relation(needs your help to sort,List([5, 10), [11, 20)))	SimpleArgument(the wheat,List([29, 38)))	Adam needs your help to sort the wheat from the chaff and to make the best ones real.
