0.424227524122513	Context(data center services allow,List([95, 126)))	SimpleArgument(our clients,List([127, 138)))	Relation(to maximize,List([139, 150)))	SimpleArgument(their technology investments,List([151, 179)))	Signature Technology Group (STG), a Tech Data Company, performs against our mission to provide data center services that allow our clients to maximize their technology investments.
0.7837199605700003		SimpleArgument(data center services,List([95, 115)))	Relation(allow,List([121, 126)))	SimpleArgument(our clients to maximize their technology investments,List([127, 179)))	Signature Technology Group (STG), a Tech Data Company, performs against our mission to provide data center services that allow our clients to maximize their technology investments.
0.8645386818095685		SimpleArgument(Signature Technology Group,List([0, 26)))	Relation(performs against,List([55, 63), [64, 71)))	SpatialArgument(our mission,List([72, 83)))	Signature Technology Group (STG), a Tech Data Company, performs against our mission to provide data center services that allow our clients to maximize their technology investments.
0.8641725916405115		SimpleArgument(People with,List([55, 66)))	Relation(align,List([86, 91)))	SimpleArgument(our offerings,List([67, 80)))	We do this in the four components of the Data Center:  Technology, People, Activities, and Strategy; with our offerings that align:  Hardware Maintenance, Staff Augmentation, Professional Services, and Consulting Services.
0.4978219019954182		SimpleArgument(our,List([0, 2)))	Relation(do this in,List([3, 5), [6, 10), [11, 13)))	SpatialArgument(the four components of the Data Center,List([14, 52)))	We do this in the four components of the Data Center:  Technology, People, Activities, and Strategy; with our offerings that align:  Hardware Maintenance, Staff Augmentation, Professional Services, and Consulting Services.
0.27813615858960106		SimpleArgument(our,List([0, 2)))	Relation(do,List([3, 5)))	SimpleArgument(this,List([6, 10)))	We do this in the four components of the Data Center:  Technology, People, Activities, and Strategy; with our offerings that align:  Hardware Maintenance, Staff Augmentation, Professional Services, and Consulting Services.
0.9329286852051247		SimpleArgument(Signature Technology Group,List([0, 26)))	Relation(is a wholly owned subsidiary of Tech Data Corporation in operation for,List([27, 29), [30, 93), [94, 97)))	TemporalArgument(over 25 years,List([98, 111)))	Signature Technology Group is a wholly owned subsidiary of Tech Data Corporation in operation for over 25 years.
0.9726855614196764		SimpleArgument(Signature Technology Group,List([0, 26)))	Relation(is,List([27, 29)))	SimpleArgument(a wholly owned subsidiary of Tech Data Corporation in operation,List([30, 93)))	Signature Technology Group is a wholly owned subsidiary of Tech Data Corporation in operation for over 25 years.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of public sector entities , including : educational institutions,List([40, 114)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of public sector entities , including : government agencies,List([40, 109)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of public sector entities , including : federal,List([40, 97)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of public sector entities , including : local,List([40, 95)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of public sector entities , including : state,List([40, 95)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of public sector entities , including : small private firms,List([40, 109)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.6138676038426771		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of public sector entities , including : Fortune 100 companies,List([40, 111)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of commercial sector entities , including : educational institutions,List([40, 118)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of commercial sector entities , including : government agencies,List([40, 113)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of commercial sector entities , including : federal,List([40, 101)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of commercial sector entities , including : local,List([40, 99)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of commercial sector entities , including : state,List([40, 99)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
0.5691839633287576		SimpleArgument(our,List([31, 33)))	Relation(serve,List([34, 39)))	SimpleArgument(all types of commercial sector entities , including : small private firms,List([40, 113)))	Through our channel partners, we serve all types of commercial and public sector entities, including: Fortune 100 companies, small private firms, state, local and federal government agencies, and educational institutions.
