0.8942434158739456		SimpleArgument(Internet,List([53, 61)))	Relation(hosting,List([62, 69)))	SimpleArgument(services,List([70, 78)))	Active 24 is an independent pan-European provider of Internet hosting services.
0.635855952573653		SimpleArgument(Active 24,List([0, 9)))	Relation(is,List([10, 12)))	SimpleArgument(an independent pan-European provider of Internet hosting services,List([13, 78)))	Active 24 is an independent pan-European provider of Internet hosting services.
0.8817598924294554	Context(The company focuses,List([0, 19)))	SimpleArgument(The company,List([0, 11)))	Relation(focuses on providing,List([12, 19), [20, 32)))	SimpleArgument(medium - sized private individuals with hosted solutions,List([33, 89)))	The company focuses on providing small and medium-sized companies (SMEs) and private individuals with hosted solutions that combine scalable and standardised products.
0.8817598924294554		SimpleArgument(The company,List([0, 11)))	Relation(focuses on,List([12, 19), [20, 22)))	SimpleArgument(providing medium - sized private individuals with hosted solutions,List([23, 89)))	The company focuses on providing small and medium-sized companies (SMEs) and private individuals with hosted solutions that combine scalable and standardised products.
0.8872966301155124		SimpleArgument(hosted solutions,List([64, 80)))	Relation(combine,List([86, 93)))	SimpleArgument(standardised products,List([94, 115)))	The company focuses on providing small and medium-sized companies (SMEs) and private individuals with hosted solutions that combine scalable and standardised products.
0.8296098119085875	Context(The company focuses,List([0, 19)))	SimpleArgument(The company,List([0, 11)))	Relation(focuses on providing with,List([12, 19), [20, 32), [59, 63)))	SimpleArgument(hosted solutions,List([64, 80)))	The company focuses on providing small and medium-sized companies (SMEs) and private individuals with hosted solutions that combine scalable and standardised products.
0.8817598924294554		SimpleArgument(The company,List([0, 11)))	Relation(focuses on,List([12, 19), [20, 22)))	SimpleArgument(providing small private individuals with hosted solutions,List([23, 80)))	The company focuses on providing small and medium-sized companies (SMEs) and private individuals with hosted solutions that combine scalable and standardised products.
0.8872966301155124		SimpleArgument(hosted solutions,List([64, 80)))	Relation(combine,List([86, 93)))	SimpleArgument(scalable products,List([94, 111)))	The company focuses on providing small and medium-sized companies (SMEs) and private individuals with hosted solutions that combine scalable and standardised products.
0.8817598924294554	Context(The company focuses,List([0, 19)))	SimpleArgument(The company,List([0, 11)))	Relation(focuses on providing,List([12, 19), [20, 32)))	SimpleArgument(medium - sized companies,List([33, 57)))	The company focuses on providing small and medium-sized companies (SMEs) and private individuals with hosted solutions that combine scalable and standardised products.
0.8817598924294554		SimpleArgument(The company,List([0, 11)))	Relation(focuses on,List([12, 19), [20, 22)))	SimpleArgument(providing medium - sized companies,List([23, 57)))	The company focuses on providing small and medium-sized companies (SMEs) and private individuals with hosted solutions that combine scalable and standardised products.
0.8817598924294554	Context(The company focuses,List([0, 19)))	SimpleArgument(The company,List([0, 11)))	Relation(focuses on providing,List([12, 19), [20, 32)))	SimpleArgument(small companies,List([33, 48)))	The company focuses on providing small and medium-sized companies (SMEs) and private individuals with hosted solutions that combine scalable and standardised products.
0.8817598924294554		SimpleArgument(The company,List([0, 11)))	Relation(focuses on,List([12, 19), [20, 22)))	SimpleArgument(providing small companies,List([23, 48)))	The company focuses on providing small and medium-sized companies (SMEs) and private individuals with hosted solutions that combine scalable and standardised products.
0.7614217007482424		SimpleArgument(the company,List([36, 47)))	Relation(has been a consolidator in the market since,List([48, 51), [52, 57), [63, 89), [90, 96)))	TemporalArgument(then,List([58, 62)))	Founded in Oslo, Norway in 1998 as Active ISP, the company has since then grown steadily and been a consolidator in the market by acquiring; Carambole, Millenicum and Loopia in Sweden, Ladot in the Netherlands, VI in UK, Globe Internet, Internet Club and CP Online in the Czech Republic, and Cybernetix in Poland to its portfolio.
0.858772576540734		SimpleArgument(the company,List([36, 47)))	Relation(has been,List([48, 51), [63, 67)))	SimpleArgument(a consolidator in the market,List([68, 96)))	Founded in Oslo, Norway in 1998 as Active ISP, the company has since then grown steadily and been a consolidator in the market by acquiring; Carambole, Millenicum and Loopia in Sweden, Ladot in the Netherlands, VI in UK, Globe Internet, Internet Club and CP Online in the Czech Republic, and Cybernetix in Poland to its portfolio.
0.9439070193972718		SimpleArgument(Active,List([22, 28)))	Relation(became a part of the Norwegian software company In,List([0, 2), [29, 68), [69, 76)))	TemporalArgument(the summer of 2006,List([3, 21)))	In the summer of 2006 Active 24 was acquired by Mamut ASA and became a part of the Norwegian software company.
0.9197759696552441		SimpleArgument(Active,List([22, 28)))	Relation(became,List([29, 35)))	SimpleArgument(a part of the Norwegian software company,List([36, 76)))	In the summer of 2006 Active 24 was acquired by Mamut ASA and became a part of the Norwegian software company.
0.8203663862060957	Context(the acquisition resulted,List([37, 61)))	SimpleArgument(Mamut,List([8, 13)))	Relation(was acquired In,List([0, 17), [18, 26)))	TemporalArgument(2011,List([3, 7)))	In 2011 Mamut was acquired by Visma, the acquisition resulted in Active 24 becoming a standalone division within the Visma group.
